t=0, n=12, r=2, m=18, rp=1 ---------> 2.71165e+11
t=1, n=12, r=2, m=18, rp=1 ---------> -6.41813e+10
t=0, n=13, r=2, m=18, rp=1 ---------> 8.41516e+11
t=1, n=13, r=2, m=18, rp=1 ---------> 4.04079e+11
t=0, n=14, r=2, m=18, rp=1 ---------> 1.1377e+12
t=1, n=14, r=2, m=18, rp=1 ---------> 8.40892e+11
t=0, n=15, r=2, m=18, rp=1 ---------> 5.74076e+11
t=1, n=15, r=2, m=18, rp=1 ---------> 1.86482e+11
t=0, n=16, r=2, m=18, rp=1 ---------> 3.51866e+11
t=1, n=16, r=2, m=18, rp=1 ---------> 1.18048e+11
t=0, n=17, r=2, m=18, rp=1 ---------> 7.40624e+11
t=1, n=17, r=2, m=18, rp=1 ---------> 8.43903e+11
t=0, n=18, r=2, m=18, rp=1 ---------> -1.47845e+11
t=1, n=18, r=2, m=18, rp=1 ---------> 3.7752e+10
t=0, n=19, r=2, m=18, rp=1 ---------> -6.2708e+11
t=1, n=19, r=2, m=18, rp=1 ---------> -1.99241e+11
t=0, n=20, r=2, m=18, rp=1 ---------> 1.82061e+10
t=1, n=20, r=2, m=18, rp=1 ---------> -3.62628e+11
t=0, n=21, r=2, m=18, rp=1 ---------> -1.10773e+11
t=1, n=21, r=2, m=18, rp=1 ---------> -4.4485e+11
t=0, n=22, r=2, m=18, rp=1 ---------> -2.91989e+11
t=1, n=22, r=2, m=18, rp=1 ---------> -5.98496e+11
t=0, n=23, r=2, m=18, rp=1 ---------> 5.65613e+11
t=1, n=23, r=2, m=18, rp=1 ---------> 1.34253e+11
t=0, n=24, r=2, m=18, rp=1 ---------> 4.12472e+11
t=1, n=24, r=2, m=18, rp=1 ---------> -2.59736e+11
t=0, n=25, r=2, m=18, rp=1 ---------> 8.34896e+11
t=1, n=25, r=2, m=18, rp=1 ---------> 5.34066e+11
t=0, n=26, r=2, m=18, rp=1 ---------> -2.48302e+11
t=1, n=26, r=2, m=18, rp=1 ---------> 9.8501e+10
t=0, n=27, r=2, m=18, rp=1 ---------> 7.49581e+11
t=1, n=27, r=2, m=18, rp=1 ---------> 5.18014e+11
t=0, n=28, r=2, m=18, rp=1 ---------> 1.68185e+11
t=1, n=28, r=2, m=18, rp=1 ---------> 6.39654e+10
t=0, n=29, r=2, m=18, rp=1 ---------> 5.32014e+11
t=1, n=29, r=2, m=18, rp=1 ---------> -1.42287e+11
t=0, n=30, r=2, m=18, rp=1 ---------> 8.70132e+11
t=1, n=30, r=2, m=18, rp=1 ---------> 9.35228e+11
t=0, n=31, r=2, m=18, rp=1 ---------> -8.92191e+10
t=1, n=31, r=2, m=18, rp=1 ---------> -4.94106e+10
t=0, n=32, r=2, m=18, rp=1 ---------> 2.80275e+11
t=1, n=32, r=2, m=18, rp=1 ---------> -4.036e+10
t=0, n=33, r=2, m=18, rp=1 ---------> 4.86059e+11
t=1, n=33, r=2, m=18, rp=1 ---------> 4.73347e+11
t=0, n=34, r=2, m=18, rp=1 ---------> -1.63229e+10
t=1, n=34, r=2, m=18, rp=1 ---------> 6.12361e+11
t=0, n=35, r=2, m=18, rp=1 ---------> 3.63569e+11
t=1, n=35, r=2, m=18, rp=1 ---------> 3.25921e+11
t=0, n=36, r=2, m=18, rp=1 ---------> -3.63774e+11
t=1, n=36, r=2, m=18, rp=1 ---------> -3.1452e+11
t=0, n=37, r=2, m=18, rp=1 ---------> 7.05937e+11
t=1, n=37, r=2, m=18, rp=1 ---------> 2.23075e+11
t=0, n=38, r=2, m=18, rp=1 ---------> 1.03702e+11
t=1, n=38, r=2, m=18, rp=1 ---------> -4.5394e+11
t=0, n=39, r=2, m=18, rp=1 ---------> 8.29192e+11
t=1, n=39, r=2, m=18, rp=1 ---------> 8.43046e+10
t=0, n=40, r=2, m=18, rp=1 ---------> 5.90438e+11
t=1, n=40, r=2, m=18, rp=1 ---------> 6.76393e+11
t=0, n=41, r=2, m=18, rp=1 ---------> -2.10327e+11
t=1, n=41, r=2, m=18, rp=1 ---------> -7.24562e+11
t=0, n=42, r=2, m=18, rp=1 ---------> 1.94768e+11
t=1, n=42, r=2, m=18, rp=1 ---------> 2.02824e+10
t=0, n=43, r=2, m=18, rp=1 ---------> -2.2649e+11
t=1, n=43, r=2, m=18, rp=1 ---------> 3.40685e+11
t=0, n=44, r=2, m=18, rp=1 ---------> 7.45181e+10
t=1, n=44, r=2, m=18, rp=1 ---------> -2.38734e+11
t=0, n=0, r=3, m=18, rp=1 ---------> -1.60379e+11
t=1, n=0, r=3, m=18, rp=1 ---------> -8.07101e+10
t=0, n=1, r=3, m=18, rp=1 ---------> -1.80886e+11
t=1, n=1, r=3, m=18, rp=1 ---------> -8.07011e+11
t=0, n=2, r=3, m=18, rp=1 ---------> 5.59755e+10
t=1, n=2, r=3, m=18, rp=1 ---------> -6.65701e+11
t=0, n=3, r=3, m=18, rp=1 ---------> 1.04659e+11
t=1, n=3, r=3, m=18, rp=1 ---------> -4.13184e+11
t=0, n=4, r=3, m=18, rp=1 ---------> 1.16837e+11
t=1, n=4, r=3, m=18, rp=1 ---------> -3.45903e+10
t=0, n=5, r=3, m=18, rp=1 ---------> 9.05157e+10
t=1, n=5, r=3, m=18, rp=1 ---------> 7.41306e+10
t=0, n=6, r=3, m=18, rp=1 ---------> -3.62397e+11
t=1, n=6, r=3, m=18, rp=1 ---------> -1.37812e+11
t=0, n=7, r=3, m=18, rp=1 ---------> 8.18557e+10
t=1, n=7, r=3, m=18, rp=1 ---------> -2.2715e+11
t=0, n=8, r=3, m=18, rp=1 ---------> 1.87133e+11
t=1, n=8, r=3, m=18, rp=1 ---------> -5.51389e+11
t=0, n=9, r=3, m=18, rp=1 ---------> -7.34534e+11
t=1, n=9, r=3, m=18, rp=1 ---------> -7.10632e+11
t=0, n=10, r=3, m=18, rp=1 ---------> -3.58312e+10
t=1, n=10, r=3, m=18, rp=1 ---------> 1.25239e+11
t=0, n=11, r=3, m=18, rp=1 ---------> -1.89199e+10
t=1, n=11, r=3, m=18, rp=1 ---------> -1.16914e+11
t=0, n=12, r=3, m=18, rp=1 ---------> -5.85459e+10
t=1, n=12, r=3, m=18, rp=1 ---------> -1.29236e+11
t=0, n=13, r=3, m=18, rp=1 ---------> -3.28131e+11
t=1, n=13, r=3, m=18, rp=1 ---------> -3.35038e+11
t=0, n=14, r=3, m=18, rp=1 ---------> 7.06852e+08
t=1, n=14, r=3, m=18, rp=1 ---------> -6.15764e+11
t=0, n=15, r=3, m=18, rp=1 ---------> 1.92502e+11
t=1, n=15, r=3, m=18, rp=1 ---------> 6.9191e+10
t=0, n=16, r=3, m=18, rp=1 ---------> -9.3168e+10
t=1, n=16, r=3, m=18, rp=1 ---------> 4.47879e+10
t=0, n=17, r=3, m=18, rp=1 ---------> -3.42869e+11
t=1, n=17, r=3, m=18, rp=1 ---------> -1.01148e+12
t=0, n=18, r=3, m=18, rp=1 ---------> -1.21261e+10
t=1, n=18, r=3, m=18, rp=1 ---------> -9.48407e+10
t=0, n=19, r=3, m=18, rp=1 ---------> 1.89381e+11
t=1, n=19, r=3, m=18, rp=1 ---------> 3.96181e+11
t=0, n=20, r=3, m=18, rp=1 ---------> 2.22203e+11
t=1, n=20, r=3, m=18, rp=1 ---------> 5.47581e+10
t=0, n=21, r=3, m=18, rp=1 ---------> 2.46965e+11
t=1, n=21, r=3, m=18, rp=1 ---------> 9.99738e+10
t=0, n=22, r=3, m=18, rp=1 ---------> 2.19929e+11
t=1, n=22, r=3, m=18, rp=1 ---------> 6.90623e+10
t=0, n=23, r=3, m=18, rp=1 ---------> 1.36068e+11
t=1, n=23, r=3, m=18, rp=1 ---------> -6.95837e+11
t=0, n=24, r=3, m=18, rp=1 ---------> 1.86883e+11
t=1, n=24, r=3, m=18, rp=1 ---------> 8.87226e+10
t=0, n=25, r=3, m=18, rp=1 ---------> 4.0809e+10
t=1, n=25, r=3, m=18, rp=1 ---------> -3.26566e+11
t=0, n=26, r=3, m=18, rp=1 ---------> 2.96524e+10
t=1, n=26, r=3, m=18, rp=1 ---------> -1.96371e+11
t=0, n=27, r=3, m=18, rp=1 ---------> 2.28179e+11
t=1, n=27, r=3, m=18, rp=1 ---------> -3.54377e+11
t=0, n=28, r=3, m=18, rp=1 ---------> -4.34404e+11
t=1, n=28, r=3, m=18, rp=1 ---------> 7.97499e+10
t=0, n=29, r=3, m=18, rp=1 ---------> 1.99903e+11
t=1, n=29, r=3, m=18, rp=1 ---------> -2.28904e+11
t=0, n=30, r=3, m=18, rp=1 ---------> -4.89507e+11
t=1, n=30, r=3, m=18, rp=1 ---------> -4.80148e+11
t=0, n=31, r=3, m=18, rp=1 ---------> -1.93922e+10
t=1, n=31, r=3, m=18, rp=1 ---------> 1.18113e+11
t=0, n=32, r=3, m=18, rp=1 ---------> 1.51857e+11
t=1, n=32, r=3, m=18, rp=1 ---------> 3.6881e+11
t=0, n=33, r=3, m=18, rp=1 ---------> -1.55733e+11
t=1, n=33, r=3, m=18, rp=1 ---------> -4.20154e+11
t=0, n=34, r=3, m=18, rp=1 ---------> -1.7432e+11
t=1, n=34, r=3, m=18, rp=1 ---------> -8.05282e+11
t=0, n=35, r=3, m=18, rp=1 ---------> 5.09791e+09
t=1, n=35, r=3, m=18, rp=1 ---------> -3.02474e+11
t=0, n=36, r=3, m=18, rp=1 ---------> 8.93619e+10
t=1, n=36, r=3, m=18, rp=1 ---------> 1.46179e+11
t=0, n=37, r=3, m=18, rp=1 ---------> 1.57767e+11
t=1, n=37, r=3, m=18, rp=1 ---------> 4.80572e+09
t=0, n=38, r=3, m=18, rp=1 ---------> 1.48962e+11
t=1, n=38, r=3, m=18, rp=1 ---------> 1.24959e+11
t=0, n=39, r=3, m=18, rp=1 ---------> 1.82504e+11
t=1, n=39, r=3, m=18, rp=1 ---------> -1.71889e+11
t=0, n=40, r=3, m=18, rp=1 ---------> -7.8169e+10
t=1, n=40, r=3, m=18, rp=1 ---------> -2.10445e+11
t=0, n=41, r=3, m=18, rp=1 ---------> 2.86934e+11
t=1, n=41, r=3, m=18, rp=1 ---------> 2.59983e+11
t=0, n=42, r=3, m=18, rp=1 ---------> -5.30651e+10
t=1, n=42, r=3, m=18, rp=1 ---------> -2.14357e+11
t=0, n=43, r=3, m=18, rp=1 ---------> -2.32264e+11
t=1, n=43, r=3, m=18, rp=1 ---------> -3.40558e+11
t=0, n=44, r=3, m=18, rp=1 ---------> 2.39672e+11
t=1, n=44, r=3, m=18, rp=1 ---------> 1.33303e+11
t=0, n=0, r=0, m=19, rp=1 ---------> -2.31612e+11
t=1, n=0, r=0, m=19, rp=1 ---------> 5.3916e+11
t=0, n=1, r=0, m=19, rp=1 ---------> -2.26341e+11
t=1, n=1, r=0, m=19, rp=1 ---------> 5.6126e+11
t=0, n=2, r=0, m=19, rp=1 ---------> -2.64475e+11
t=1, n=2, r=0, m=19, rp=1 ---------> 5.43756e+11
t=0, n=3, r=0, m=19, rp=1 ---------> -4.46877e+11
t=1, n=3, r=0, m=19, rp=1 ---------> 8.52223e+11
t=0, n=4, r=0, m=19, rp=1 ---------> -1.07184e+11
t=1, n=4, r=0, m=19, rp=1 ---------> 3.12256e+11
t=0, n=5, r=0, m=19, rp=1 ---------> -5.46595e+11
t=1, n=5, r=0, m=19, rp=1 ---------> 5.02763e+11
t=0, n=6, r=0, m=19, rp=1 ---------> -4.96826e+09
t=1, n=6, r=0, m=19, rp=1 ---------> 4.74892e+11
t=0, n=7, r=0, m=19, rp=1 ---------> -4.86564e+10
t=1, n=7, r=0, m=19, rp=1 ---------> 2.59511e+11
t=0, n=8, r=0, m=19, rp=1 ---------> -3.68035e+11
t=1, n=8, r=0, m=19, rp=1 ---------> 6.93216e+11
t=0, n=9, r=0, m=19, rp=1 ---------> -1.4913e+11
t=1, n=9, r=0, m=19, rp=1 ---------> 5.49257e+11
t=0, n=10, r=0, m=19, rp=1 ---------> -1.70061e+11
t=1, n=10, r=0, m=19, rp=1 ---------> 3.48786e+11
t=0, n=11, r=0, m=19, rp=1 ---------> -3.39887e+11
t=1, n=11, r=0, m=19, rp=1 ---------> 3.31878e+11
t=0, n=12, r=0, m=19, rp=1 ---------> -1.6852e+11
t=1, n=12, r=0, m=19, rp=1 ---------> 4.80767e+11
t=0, n=13, r=0, m=19, rp=1 ---------> -6.09098e+09
t=1, n=13, r=0, m=19, rp=1 ---------> 2.45809e+10
t=0, n=14, r=0, m=19, rp=1 ---------> 3.0271e+10
t=1, n=14, r=0, m=19, rp=1 ---------> 7.26663e+11
t=0, n=15, r=0, m=19, rp=1 ---------> -7.57043e+11
t=1, n=15, r=0, m=19, rp=1 ---------> 6.64143e+11
t=0, n=16, r=0, m=19, rp=1 ---------> -6.77896e+11
t=1, n=16, r=0, m=19, rp=1 ---------> 6.17512e+11
t=0, n=17, r=0, m=19, rp=1 ---------> -3.35048e+11
t=1, n=17, r=0, m=19, rp=1 ---------> 6.9048e+11
t=0, n=18, r=0, m=19, rp=1 ---------> -7.39561e+10
t=1, n=18, r=0, m=19, rp=1 ---------> 3.86366e+11
t=0, n=19, r=0, m=19, rp=1 ---------> 9.64598e+10
t=1, n=19, r=0, m=19, rp=1 ---------> -1.61049e+11
t=0, n=20, r=0, m=19, rp=1 ---------> -3.29672e+11
t=1, n=20, r=0, m=19, rp=1 ---------> 3.69751e+11
t=0, n=21, r=0, m=19, rp=1 ---------> -2.80724e+11
t=1, n=21, r=0, m=19, rp=1 ---------> -1.11316e+11
t=0, n=22, r=0, m=19, rp=1 ---------> -3.91494e+11
t=1, n=22, r=0, m=19, rp=1 ---------> 5.56017e+11
t=0, n=23, r=0, m=19, rp=1 ---------> -2.40222e+10
t=1, n=23, r=0, m=19, rp=1 ---------> 3.14886e+11
t=0, n=24, r=0, m=19, rp=1 ---------> -6.3858e+11
t=1, n=24, r=0, m=19, rp=1 ---------> 9.07239e+11
t=0, n=25, r=0, m=19, rp=1 ---------> -4.07987e+11
t=1, n=25, r=0, m=19, rp=1 ---------> 7.03432e+11
t=0, n=26, r=0, m=19, rp=1 ---------> -2.67524e+11
t=1, n=26, r=0, m=19, rp=1 ---------> 2.22729e+11
t=0, n=27, r=0, m=19, rp=1 ---------> -1.29232e+11
t=1, n=27, r=0, m=19, rp=1 ---------> 1.53008e+11
t=0, n=28, r=0, m=19, rp=1 ---------> -3.43949e+11
t=1, n=28, r=0, m=19, rp=1 ---------> 6.48928e+11
t=0, n=29, r=0, m=19, rp=1 ---------> -7.02377e+10
t=1, n=29, r=0, m=19, rp=1 ---------> 1.65582e+11
t=0, n=30, r=0, m=19, rp=1 ---------> -3.8975e+11
t=1, n=30, r=0, m=19, rp=1 ---------> 6.99418e+11
t=0, n=31, r=0, m=19, rp=1 ---------> -1.15621e+11
t=1, n=31, r=0, m=19, rp=1 ---------> 4.04889e+11
t=0, n=32, r=0, m=19, rp=1 ---------> -3.55504e+11
t=1, n=32, r=0, m=19, rp=1 ---------> 3.14886e+11
t=0, n=33, r=0, m=19, rp=1 ---------> -6.26011e+10
t=1, n=33, r=0, m=19, rp=1 ---------> 1.8118e+11
t=0, n=34, r=0, m=19, rp=1 ---------> -2.29676e+11
t=1, n=34, r=0, m=19, rp=1 ---------> 6.99711e+11
t=0, n=35, r=0, m=19, rp=1 ---------> -8.03448e+10
t=1, n=35, r=0, m=19, rp=1 ---------> 2.24025e+11
t=0, n=36, r=0, m=19, rp=1 ---------> 2.93843e+08
t=1, n=36, r=0, m=19, rp=1 ---------> 1.28807e+11
t=0, n=37, r=0, m=19, rp=1 ---------> -3.32029e+11
t=1, n=37, r=0, m=19, rp=1 ---------> 7.96534e+11
t=0, n=38, r=0, m=19, rp=1 ---------> -2.56067e+11
t=1, n=38, r=0, m=19, rp=1 ---------> 5.50525e+11
t=0, n=39, r=0, m=19, rp=1 ---------> -2.79522e+11
t=1, n=39, r=0, m=19, rp=1 ---------> 2.44787e+11
t=0, n=40, r=0, m=19, rp=1 ---------> -9.97135e+10
t=1, n=40, r=0, m=19, rp=1 ---------> 1.80416e+11
t=0, n=41, r=0, m=19, rp=1 ---------> -2.55519e+11
t=1, n=41, r=0, m=19, rp=1 ---------> 4.89259e+11
t=0, n=42, r=0, m=19, rp=1 ---------> -2.91264e+11
t=1, n=42, r=0, m=19, rp=1 ---------> 5.51691e+11
t=0, n=43, r=0, m=19, rp=1 ---------> -1.07493e+11
t=1, n=43, r=0, m=19, rp=1 ---------> 4.52945e+11
t=0, n=44, r=0, m=19, rp=1 ---------> 2.04216e+10
t=1, n=44, r=0, m=19, rp=1 ---------> -2.52936e+11
t=0, n=0, r=1, m=19, rp=1 ---------> -3.75422e+11
t=1, n=0, r=1, m=19, rp=1 ---------> 1.06968e+12
t=0, n=1, r=1, m=19, rp=1 ---------> -1.60442e+12
t=1, n=1, r=1, m=19, rp=1 ---------> 5.32831e+11
t=0, n=2, r=1, m=19, rp=1 ---------> -1.28631e+12
t=1, n=2, r=1, m=19, rp=1 ---------> 9.29927e+11
t=0, n=3, r=1, m=19, rp=1 ---------> -7.51764e+11
t=1, n=3, r=1, m=19, rp=1 ---------> 1.20513e+12
t=0, n=4, r=1, m=19, rp=1 ---------> -3.88911e+11
t=1, n=4, r=1, m=19, rp=1 ---------> 6.6605e+11
t=0, n=5, r=1, m=19, rp=1 ---------> -2.59335e+11
t=1, n=5, r=1, m=19, rp=1 ---------> 1.58499e+12
t=0, n=6, r=1, m=19, rp=1 ---------> -8.91923e+11
t=1, n=6, r=1, m=19, rp=1 ---------> 8.13957e+11
t=0, n=7, r=1, m=19, rp=1 ---------> -4.3863e+11
t=1, n=7, r=1, m=19, rp=1 ---------> 5.53171e+11
t=0, n=8, r=1, m=19, rp=1 ---------> -5.99381e+11
t=1, n=8, r=1, m=19, rp=1 ---------> 9.72587e+11
t=0, n=9, r=1, m=19, rp=1 ---------> -1.54094e+12
t=1, n=9, r=1, m=19, rp=1 ---------> 7.30338e+11
t=0, n=10, r=1, m=19, rp=1 ---------> -4.64516e+11
t=1, n=10, r=1, m=19, rp=1 ---------> 9.27336e+11
t=0, n=11, r=1, m=19, rp=1 ---------> -2.83881e+11
t=1, n=11, r=1, m=19, rp=1 ---------> 8.91252e+11
t=0, n=12, r=1, m=19, rp=1 ---------> -5.56841e+11
t=1, n=12, r=1, m=19, rp=1 ---------> 4.57673e+11
t=0, n=13, r=1, m=19, rp=1 ---------> -1.18816e+12
t=1, n=13, r=1, m=19, rp=1 ---------> 3.45757e+11
t=0, n=14, r=1, m=19, rp=1 ---------> -7.97639e+11
t=1, n=14, r=1, m=19, rp=1 ---------> 9.69237e+11
t=0, n=15, r=1, m=19, rp=1 ---------> -3.82831e+11
t=1, n=15, r=1, m=19, rp=1 ---------> 1.10694e+12
t=0, n=16, r=1, m=19, rp=1 ---------> -2.52341e+11
t=1, n=16, r=1, m=19, rp=1 ---------> 5.95631e+11
t=0, n=17, r=1, m=19, rp=1 ---------> -1.39026e+12
t=1, n=17, r=1, m=19, rp=1 ---------> 1.73611e+11
t=0, n=18, r=1, m=19, rp=1 ---------> -1.76999e+11
t=1, n=18, r=1, m=19, rp=1 ---------> 3.32242e+11
t=0, n=19, r=1, m=19, rp=1 ---------> 4.73398e+11
t=1, n=19, r=1, m=19, rp=1 ---------> 3.74142e+11
t=0, n=20, r=1, m=19, rp=1 ---------> -2.3653e+10
t=1, n=20, r=1, m=19, rp=1 ---------> 1.08914e+12
t=0, n=21, r=1, m=19, rp=1 ---------> 2.41753e+11
t=1, n=21, r=1, m=19, rp=1 ---------> 8.40908e+11
t=0, n=22, r=1, m=19, rp=1 ---------> -1.02467e+11
t=1, n=22, r=1, m=19, rp=1 ---------> 1.65774e+12
t=0, n=23, r=1, m=19, rp=1 ---------> -3.28436e+11
t=1, n=23, r=1, m=19, rp=1 ---------> 5.92286e+11
t=0, n=24, r=1, m=19, rp=1 ---------> -3.88108e+11
t=1, n=24, r=1, m=19, rp=1 ---------> 1.66571e+12
t=0, n=25, r=1, m=19, rp=1 ---------> -5.9949e+11
t=1, n=25, r=1, m=19, rp=1 ---------> 1.14018e+12
t=0, n=26, r=1, m=19, rp=1 ---------> -1.57293e+11
t=1, n=26, r=1, m=19, rp=1 ---------> 8.4675e+11
t=0, n=27, r=1, m=19, rp=1 ---------> -4.46113e+11
t=1, n=27, r=1, m=19, rp=1 ---------> 4.93828e+11
t=0, n=28, r=1, m=19, rp=1 ---------> -5.05702e+11
t=1, n=28, r=1, m=19, rp=1 ---------> 9.02835e+11
t=0, n=29, r=1, m=19, rp=1 ---------> -1.57437e+11
t=1, n=29, r=1, m=19, rp=1 ---------> 6.97631e+11
t=0, n=30, r=1, m=19, rp=1 ---------> -7.12076e+11
t=1, n=30, r=1, m=19, rp=1 ---------> 6.46485e+11
t=0, n=31, r=1, m=19, rp=1 ---------> -1.9729e+11
t=1, n=31, r=1, m=19, rp=1 ---------> 1.02192e+12
t=0, n=32, r=1, m=19, rp=1 ---------> -4.97872e+10
t=1, n=32, r=1, m=19, rp=1 ---------> 1.11038e+12
t=0, n=33, r=1, m=19, rp=1 ---------> -6.64729e+11
t=1, n=33, r=1, m=19, rp=1 ---------> 2.36013e+11
t=0, n=34, r=1, m=19, rp=1 ---------> -1.0019e+12
t=1, n=34, r=1, m=19, rp=1 ---------> 5.43752e+10
t=0, n=35, r=1, m=19, rp=1 ---------> -3.76194e+11
t=1, n=35, r=1, m=19, rp=1 ---------> 3.21306e+11
t=0, n=36, r=1, m=19, rp=1 ---------> 2.04808e+10
t=1, n=36, r=1, m=19, rp=1 ---------> 4.10383e+11
t=0, n=37, r=1, m=19, rp=1 ---------> -6.73232e+10
t=1, n=37, r=1, m=19, rp=1 ---------> 1.40677e+12
t=0, n=38, r=1, m=19, rp=1 ---------> -7.30808e+11
t=1, n=38, r=1, m=19, rp=1 ---------> 8.37489e+11
t=0, n=39, r=1, m=19, rp=1 ---------> -8.53595e+11
t=1, n=39, r=1, m=19, rp=1 ---------> 7.84683e+11
t=0, n=40, r=1, m=19, rp=1 ---------> -4.47758e+11
t=1, n=40, r=1, m=19, rp=1 ---------> 2.81037e+11
t=0, n=41, r=1, m=19, rp=1 ---------> 2.80027e+11
t=1, n=41, r=1, m=19, rp=1 ---------> 7.5453e+11
t=0, n=42, r=1, m=19, rp=1 ---------> -1.89489e+11
t=1, n=42, r=1, m=19, rp=1 ---------> 7.11914e+11
t=0, n=43, r=1, m=19, rp=1 ---------> -1.93237e+11
t=1, n=43, r=1, m=19, rp=1 ---------> 2.63459e+11
t=0, n=44, r=1, m=19, rp=1 ---------> -7.26522e+11
t=1, n=44, r=1, m=19, rp=1 ---------> 9.39735e+10
t=0, n=0, r=2, m=19, rp=1 ---------> -2.0054e+11
t=1, n=0, r=2, m=19, rp=1 ---------> -9.29431e+11
t=0, n=1, r=2, m=19, rp=1 ---------> 1.99282e+12
t=1, n=1, r=2, m=19, rp=1 ---------> 5.07524e+11
t=0, n=2, r=2, m=19, rp=1 ---------> 1.74501e+12
t=1, n=2, r=2, m=19, rp=1 ---------> 2.54866e+10
t=0, n=3, r=2, m=19, rp=1 ---------> 1.44243e+12
t=1, n=3, r=2, m=19, rp=1 ---------> -5.58611e+11
t=0, n=4, r=2, m=19, rp=1 ---------> 3.12379e+11
t=1, n=4, r=2, m=19, rp=1 ---------> -5.68727e+11
t=0, n=5, r=2, m=19, rp=1 ---------> 3.92377e+11
t=1, n=5, r=2, m=19, rp=1 ---------> -1.15019e+12
t=0, n=6, r=2, m=19, rp=1 ---------> 7.78377e+11
t=1, n=6, r=2, m=19, rp=1 ---------> -1.1031e+11
t=0, n=7, r=2, m=19, rp=1 ---------> 1.73084e+11
t=1, n=7, r=2, m=19, rp=1 ---------> -5.06302e+11
t=0, n=8, r=2, m=19, rp=1 ---------> 1.69773e+12
t=1, n=8, r=2, m=19, rp=1 ---------> -5.18699e+11
t=0, n=9, r=2, m=19, rp=1 ---------> 1.25907e+12
t=1, n=9, r=2, m=19, rp=1 ---------> 1.70056e+11
t=0, n=10, r=2, m=19, rp=1 ---------> 4.37494e+11
t=1, n=10, r=2, m=19, rp=1 ---------> -6.98363e+11
t=0, n=11, r=2, m=19, rp=1 ---------> 2.66066e+11
t=1, n=11, r=2, m=19, rp=1 ---------> -6.08219e+11
t=0, n=12, r=2, m=19, rp=1 ---------> 7.58008e+11
t=1, n=12, r=2, m=19, rp=1 ---------> -1.24565e+11
t=0, n=13, r=2, m=19, rp=1 ---------> 1.0822e+12
t=1, n=13, r=2, m=19, rp=1 ---------> -3.3077e+09
t=0, n=14, r=2, m=19, rp=1 ---------> 1.07845e+12
t=1, n=14, r=2, m=19, rp=1 ---------> -5.12092e+11
t=0, n=15, r=2, m=19, rp=1 ---------> 7.7245e+11
t=1, n=15, r=2, m=19, rp=1 ---------> -8.81808e+11
t=0, n=16, r=2, m=19, rp=1 ---------> 7.90849e+11
t=1, n=16, r=2, m=19, rp=1 ---------> -3.69887e+11
t=0, n=17, r=2, m=19, rp=1 ---------> 1.95271e+12
t=1, n=17, r=2, m=19, rp=1 ---------> 7.96948e+11
t=0, n=18, r=2, m=19, rp=1 ---------> 2.11286e+10
t=1, n=18, r=2, m=19, rp=1 ---------> -3.17024e+11
t=0, n=19, r=2, m=19, rp=1 ---------> -1.29144e+12
t=1, n=19, r=2, m=19, rp=1 ---------> -7.31009e+11
t=0, n=20, r=2, m=19, rp=1 ---------> 1.14018e+11
t=1, n=20, r=2, m=19, rp=1 ---------> -9.63138e+11
t=0, n=21, r=2, m=19, rp=1 ---------> 7.31175e+10
t=1, n=21, r=2, m=19, rp=1 ---------> -6.2205e+11
t=0, n=22, r=2, m=19, rp=1 ---------> -3.1473e+11
t=1, n=22, r=2, m=19, rp=1 ---------> -1.62562e+12
t=0, n=23, r=2, m=19, rp=1 ---------> 1.22476e+12
t=1, n=23, r=2, m=19, rp=1 ---------> -2.98541e+11
t=0, n=24, r=2, m=19, rp=1 ---------> 5.21727e+11
t=1, n=24, r=2, m=19, rp=1 ---------> -1.32807e+12
t=0, n=25, r=2, m=19, rp=1 ---------> 1.1664e+12
t=1, n=25, r=2, m=19, rp=1 ---------> -5.92569e+11
t=0, n=26, r=2, m=19, rp=1 ---------> 1.45053e+11
t=1, n=26, r=2, m=19, rp=1 ---------> -6.46276e+11
t=0, n=27, r=2, m=19, rp=1 ---------> 1.14045e+12
t=1, n=27, r=2, m=19, rp=1 ---------> -8.76609e+10
t=0, n=28, r=2, m=19, rp=1 ---------> 2.11184e+11
t=1, n=28, r=2, m=19, rp=1 ---------> -4.32602e+11
t=0, n=29, r=2, m=19, rp=1 ---------> 8.87508e+11
t=1, n=29, r=2, m=19, rp=1 ---------> -5.85786e+11
t=0, n=30, r=2, m=19, rp=1 ---------> 8.42686e+11
t=1, n=30, r=2, m=19, rp=1 ---------> 1.784e+11
t=0, n=31, r=2, m=19, rp=1 ---------> -5.10536e+11
t=1, n=31, r=2, m=19, rp=1 ---------> -7.6342e+11
t=0, n=32, r=2, m=19, rp=1 ---------> -3.77934e+11
t=1, n=32, r=2, m=19, rp=1 ---------> -1.20757e+12
t=0, n=33, r=2, m=19, rp=1 ---------> 9.04634e+11
t=1, n=33, r=2, m=19, rp=1 ---------> 3.05521e+11
t=0, n=34, r=2, m=19, rp=1 ---------> 7.93559e+11
t=1, n=34, r=2, m=19, rp=1 ---------> 5.45852e+11
t=0, n=35, r=2, m=19, rp=1 ---------> 5.00611e+11
t=1, n=35, r=2, m=19, rp=1 ---------> -1.73169e+11
t=0, n=36, r=2, m=19, rp=1 ---------> -6.46764e+11
t=1, n=36, r=2, m=19, rp=1 ---------> -5.7773e+11
t=0, n=37, r=2, m=19, rp=1 ---------> 2.15967e+11
