t=0, n=2, r=2, m=0, rp=0 ---------> -6.44922e-05
t=1, n=2, r=2, m=0, rp=0 ---------> 0.000134928
t=0, n=3, r=2, m=0, rp=0 ---------> -0.000147388
t=1, n=3, r=2, m=0, rp=0 ---------> 0.000216528
t=0, n=4, r=2, m=0, rp=0 ---------> -0.000136055
t=1, n=4, r=2, m=0, rp=0 ---------> 0.00022908
t=0, n=5, r=2, m=0, rp=0 ---------> -0.000113092
t=1, n=5, r=2, m=0, rp=0 ---------> 0.000252003
t=0, n=6, r=2, m=0, rp=0 ---------> -0.000246668
t=1, n=6, r=2, m=0, rp=0 ---------> 3.82836e-05
t=0, n=7, r=2, m=0, rp=0 ---------> -0.000259394
t=1, n=7, r=2, m=0, rp=0 ---------> 7.93231e-05
t=0, n=8, r=2, m=0, rp=0 ---------> 1.83861e-05
t=1, n=8, r=2, m=0, rp=0 ---------> 0.000201398
t=0, n=9, r=2, m=0, rp=0 ---------> -0.000282836
t=1, n=9, r=2, m=0, rp=0 ---------> -7.06546e-05
t=0, n=10, r=2, m=0, rp=0 ---------> -0.00017119
t=1, n=10, r=2, m=0, rp=0 ---------> 9.29749e-05
t=0, n=11, r=2, m=0, rp=0 ---------> -0.000145013
t=1, n=11, r=2, m=0, rp=0 ---------> 9.67819e-05
t=0, n=12, r=2, m=0, rp=0 ---------> -0.000113262
t=1, n=12, r=2, m=0, rp=0 ---------> 0.000105094
t=0, n=13, r=2, m=0, rp=0 ---------> -0.000263296
t=1, n=13, r=2, m=0, rp=0 ---------> -5.54067e-05
t=0, n=14, r=2, m=0, rp=0 ---------> -8.12054e-05
t=1, n=14, r=2, m=0, rp=0 ---------> 0.000122955
t=0, n=15, r=2, m=0, rp=0 ---------> 1.07674e-05
t=1, n=15, r=2, m=0, rp=0 ---------> 0.00019725
t=0, n=16, r=2, m=0, rp=0 ---------> 5.90301e-05
t=1, n=16, r=2, m=0, rp=0 ---------> 0.000102068
t=0, n=17, r=2, m=0, rp=0 ---------> -0.00012915
t=1, n=17, r=2, m=0, rp=0 ---------> 3.295e-05
t=0, n=18, r=2, m=0, rp=0 ---------> -0.000153561
t=1, n=18, r=2, m=0, rp=0 ---------> 8.0779e-05
t=0, n=19, r=2, m=0, rp=0 ---------> -6.55838e-05
t=1, n=19, r=2, m=0, rp=0 ---------> 5.66659e-05
t=0, n=20, r=2, m=0, rp=0 ---------> -6.51965e-05
t=1, n=20, r=2, m=0, rp=0 ---------> 0.000217306
t=0, n=21, r=2, m=0, rp=0 ---------> 9.04245e-05
t=1, n=21, r=2, m=0, rp=0 ---------> 0.000201756
t=0, n=22, r=2, m=0, rp=0 ---------> -0.000264618
t=1, n=22, r=2, m=0, rp=0 ---------> 0.000308146
t=0, n=23, r=2, m=0, rp=0 ---------> -5.56452e-05
t=1, n=23, r=2, m=0, rp=0 ---------> 0.000195546
t=0, n=24, r=2, m=0, rp=0 ---------> -0.000104907
t=1, n=24, r=2, m=0, rp=0 ---------> 0.000348507
t=0, n=25, r=2, m=0, rp=0 ---------> -3.84599e-05
t=1, n=25, r=2, m=0, rp=0 ---------> 0.000205195
t=0, n=26, r=2, m=0, rp=0 ---------> -0.000117675
t=1, n=26, r=2, m=0, rp=0 ---------> 0.000105144
t=0, n=27, r=2, m=0, rp=0 ---------> 6.20693e-05
t=1, n=27, r=2, m=0, rp=0 ---------> 0.000140724
t=0, n=28, r=2, m=0, rp=0 ---------> -0.000213548
t=1, n=28, r=2, m=0, rp=0 ---------> 8.31394e-05
t=0, n=29, r=2, m=0, rp=0 ---------> 6.12312e-05
t=1, n=29, r=2, m=0, rp=0 ---------> 0.000274259
t=0, n=30, r=2, m=0, rp=0 ---------> -0.000142988
t=1, n=30, r=2, m=0, rp=0 ---------> 1.70432e-07
t=0, n=31, r=2, m=0, rp=0 ---------> -0.000215684
t=1, n=31, r=2, m=0, rp=0 ---------> 0.000113965
t=0, n=32, r=2, m=0, rp=0 ---------> -4.24065e-05
t=1, n=32, r=2, m=0, rp=0 ---------> 0.00015542
t=0, n=33, r=2, m=0, rp=0 ---------> -5.5479e-05
t=1, n=33, r=2, m=0, rp=0 ---------> -8.24244e-06
t=0, n=34, r=2, m=0, rp=0 ---------> -0.000211663
