t=1, n=34, r=1, m=0, rp=0 ---------> -5.64492e+11
t=0, n=35, r=1, m=0, rp=0 ---------> -3.44567e+11
t=1, n=35, r=1, m=0, rp=0 ---------> -2.55693e+11
t=0, n=36, r=1, m=0, rp=0 ---------> -4.93404e+10
t=1, n=36, r=1, m=0, rp=0 ---------> -4.14673e+11
t=0, n=37, r=1, m=0, rp=0 ---------> 8.79373e+11
t=1, n=37, r=1, m=0, rp=0 ---------> 4.4845e+10
t=0, n=38, r=1, m=0, rp=0 ---------> 8.36937e+10
t=1, n=38, r=1, m=0, rp=0 ---------> -1.03631e+12
t=0, n=39, r=1, m=0, rp=0 ---------> -2.66368e+09
t=1, n=39, r=1, m=0, rp=0 ---------> -9.1371e+11
t=0, n=40, r=1, m=0, rp=0 ---------> -1.6581e+11
t=1, n=40, r=1, m=0, rp=0 ---------> -2.12778e+11
t=0, n=41, r=1, m=0, rp=0 ---------> 2.74208e+11
t=1, n=41, r=1, m=0, rp=0 ---------> -1.06657e+12
t=0, n=42, r=1, m=0, rp=0 ---------> 6.84397e+10
t=1, n=42, r=1, m=0, rp=0 ---------> -8.82962e+11
t=0, n=43, r=1, m=0, rp=0 ---------> -2.25426e+11
t=1, n=43, r=1, m=0, rp=0 ---------> -1.23707e+11
t=0, n=44, r=1, m=0, rp=0 ---------> 8.40092e+10
t=1, n=44, r=1, m=0, rp=0 ---------> -2.56808e+09
t=0, n=45, r=1, m=0, rp=0 ---------> 7.02209e+10
t=1, n=45, r=1, m=0, rp=0 ---------> -1.16933e+10
t=0, n=0, r=2, m=0, rp=0 ---------> 1.01147e+12
t=1, n=0, r=2, m=0, rp=0 ---------> -5.51009e+11
t=0, n=1, r=2, m=0, rp=0 ---------> 6.82363e+11
t=1, n=1, r=2, m=0, rp=0 ---------> 6.3294e+10
t=0, n=2, r=2, m=0, rp=0 ---------> 1.62706e+11
t=1, n=2, r=2, m=0, rp=0 ---------> 2.51578e+11
t=0, n=3, r=2, m=0, rp=0 ---------> 3.02235e+11
t=1, n=3, r=2, m=0, rp=0 ---------> -2.57663e+11
t=0, n=4, r=2, m=0, rp=0 ---------> 6.66627e+11
t=1, n=4, r=2, m=0, rp=0 ---------> 3.28466e+11
t=0, n=5, r=2, m=0, rp=0 ---------> 2.87034e+11
t=1, n=5, r=2, m=0, rp=0 ---------> -3.13729e+11
t=0, n=6, r=2, m=0, rp=0 ---------> 1.63627e+11
t=1, n=6, r=2, m=0, rp=0 ---------> -4.8135e+11
t=0, n=7, r=2, m=0, rp=0 ---------> 8.56585e+11
t=1, n=7, r=2, m=0, rp=0 ---------> -5.46863e+11
t=0, n=8, r=2, m=0, rp=0 ---------> 4.50102e+10
t=1, n=8, r=2, m=0, rp=0 ---------> 2.2864e+10
t=0, n=9, r=2, m=0, rp=0 ---------> 7.74737e+11
t=1, n=9, r=2, m=0, rp=0 ---------> -7.89673e+11
t=0, n=10, r=2, m=0, rp=0 ---------> 1.83779e+11
t=1, n=10, r=2, m=0, rp=0 ---------> -2.09442e+11
t=0, n=11, r=2, m=0, rp=0 ---------> 2.82248e+11
t=1, n=11, r=2, m=0, rp=0 ---------> -1.57617e+11
t=0, n=12, r=2, m=0, rp=0 ---------> 3.15255e+11
t=1, n=12, r=2, m=0, rp=0 ---------> 2.72284e+11
t=0, n=13, r=2, m=0, rp=0 ---------> 5.4201e+11
t=1, n=13, r=2, m=0, rp=0 ---------> -5.86076e+11
t=0, n=14, r=2, m=0, rp=0 ---------> -7.13677e+10
t=1, n=14, r=2, m=0, rp=0 ---------> -1.78734e+11
t=0, n=15, r=2, m=0, rp=0 ---------> 1.28939e+10
t=1, n=15, r=2, m=0, rp=0 ---------> 6.56483e+11
t=0, n=16, r=2, m=0, rp=0 ---------> -5.76382e+11
t=1, n=16, r=2, m=0, rp=0 ---------> 4.37111e+11
t=0, n=17, r=2, m=0, rp=0 ---------> 5.75126e+11
t=1, n=17, r=2, m=0, rp=0 ---------> 4.18887e+11
t=0, n=18, r=2, m=0, rp=0 ---------> 2.2365e+11
t=1, n=18, r=2, m=0, rp=0 ---------> 5.49668e+11
t=0, n=19, r=2, m=0, rp=0 ---------> 6.57996e+11
t=1, n=19, r=2, m=0, rp=0 ---------> -1.93257e+11
t=0, n=20, r=2, m=0, rp=0 ---------> 4.08811e+11
t=1, n=20, r=2, m=0, rp=0 ---------> -2.5637e+11
t=0, n=21, r=2, m=0, rp=0 ---------> 1.89434e+11
t=1, n=21, r=2, m=0, rp=0 ---------> 1.38474e+11
t=0, n=22, r=2, m=0, rp=0 ---------> 1.25471e+12
t=1, n=22, r=2, m=0, rp=0 ---------> -8.24595e+11
t=0, n=23, r=2, m=0, rp=0 ---------> 5.62873e+11
t=1, n=23, r=2, m=0, rp=0 ---------> -1.56427e+11
t=0, n=24, r=2, m=0, rp=0 ---------> 4.19588e+11
t=1, n=24, r=2, m=0, rp=0 ---------> 3.40477e+11
t=0, n=25, r=2, m=0, rp=0 ---------> 2.82865e+11
t=1, n=25, r=2, m=0, rp=0 ---------> -2.79188e+11
t=0, n=26, r=2, m=0, rp=0 ---------> 5.01108e+11
t=1, n=26, r=2, m=0, rp=0 ---------> -5.00913e+11
t=0, n=27, r=2, m=0, rp=0 ---------> 6.00763e+11
t=1, n=27, r=2, m=0, rp=0 ---------> 2.48649e+11
t=0, n=28, r=2, m=0, rp=0 ---------> 9.1882e+10
t=1, n=28, r=2, m=0, rp=0 ---------> -5.0487e+10
t=0, n=29, r=2, m=0, rp=0 ---------> 2.25507e+11
t=1, n=29, r=2, m=0, rp=0 ---------> 6.1057e+11
t=0, n=30, r=2, m=0, rp=0 ---------> 2.53856e+11
t=1, n=30, r=2, m=0, rp=0 ---------> 2.95149e+11
t=0, n=31, r=2, m=0, rp=0 ---------> 5.1037e+11
t=1, n=31, r=2, m=0, rp=0 ---------> -3.34914e+11
t=0, n=32, r=2, m=0, rp=0 ---------> 4.53919e+11
t=1, n=32, r=2, m=0, rp=0 ---------> -1.39579e+09
t=0, n=33, r=2, m=0, rp=0 ---------> 9.43133e+10
t=1, n=33, r=2, m=0, rp=0 ---------> 1.09375e+11
t=0, n=34, r=2, m=0, rp=0 ---------> 1.17222e+12
t=1, n=34, r=2, m=0, rp=0 ---------> 3.49965e+11
t=0, n=35, r=2, m=0, rp=0 ---------> 3.1713e+11
t=1, n=35, r=2, m=0, rp=0 ---------> -2.5086e+11
t=0, n=36, r=2, m=0, rp=0 ---------> 6.63312e+11
t=1, n=36, r=2, m=0, rp=0 ---------> -2.3399e+11
t=0, n=37, r=2, m=0, rp=0 ---------> -6.4831e+11
t=1, n=37, r=2, m=0, rp=0 ---------> -6.33442e+11
t=0, n=38, r=2, m=0, rp=0 ---------> 6.43292e+11
t=1, n=38, r=2, m=0, rp=0 ---------> -1.5569e+10
t=0, n=39, r=2, m=0, rp=0 ---------> 4.02699e+11
t=1, n=39, r=2, m=0, rp=0 ---------> 4.46818e+11
t=0, n=40, r=2, m=0, rp=0 ---------> 4.66951e+11
t=1, n=40, r=2, m=0, rp=0 ---------> 7.7831e+10
t=0, n=41, r=2, m=0, rp=0 ---------> 2.74622e+10
t=1, n=41, r=2, m=0, rp=0 ---------> 9.56703e+10
t=0, n=42, r=2, m=0, rp=0 ---------> 2.35151e+11
t=1, n=42, r=2, m=0, rp=0 ---------> 4.26927e+10
t=0, n=43, r=2, m=0, rp=0 ---------> 4.9297e+11
t=1, n=43, r=2, m=0, rp=0 ---------> -1.79214e+11
t=0, n=44, r=2, m=0, rp=0 ---------> 1.92207e+10
t=1, n=44, r=2, m=0, rp=0 ---------> 3.1471e+10
t=0, n=45, r=2, m=0, rp=0 ---------> -3.25046e+10
t=1, n=45, r=2, m=0, rp=0 ---------> 2.24124e+10
t=0, n=0, r=3, m=0, rp=0 ---------> -1.33179e+11
t=1, n=0, r=3, m=0, rp=0 ---------> 1.5173e+12
t=0, n=1, r=3, m=0, rp=0 ---------> -7.73732e+11
t=1, n=1, r=3, m=0, rp=0 ---------> 1.11346e+12
t=0, n=2, r=3, m=0, rp=0 ---------> 1.01184e+11
t=1, n=2, r=3, m=0, rp=0 ---------> 1.37034e+12
t=0, n=3, r=3, m=0, rp=0 ---------> -4.17034e+11
t=1, n=3, r=3, m=0, rp=0 ---------> 1.13037e+12
t=0, n=4, r=3, m=0, rp=0 ---------> -2.43814e+11
t=1, n=4, r=3, m=0, rp=0 ---------> 6.88513e+11
t=0, n=5, r=3, m=0, rp=0 ---------> -5.70878e+11
