t=0, n=36, r=3, m=34, rp=1 ---------> -4.98918e+11
t=1, n=36, r=3, m=34, rp=1 ---------> -3.23096e+11
t=0, n=37, r=3, m=34, rp=1 ---------> 5.90085e+10
t=1, n=37, r=3, m=34, rp=1 ---------> -5.27845e+11
t=0, n=38, r=3, m=34, rp=1 ---------> -8.51394e+11
t=1, n=38, r=3, m=34, rp=1 ---------> -2.62322e+11
t=0, n=39, r=3, m=34, rp=1 ---------> -7.37533e+11
t=1, n=39, r=3, m=34, rp=1 ---------> 7.59009e+10
t=0, n=40, r=3, m=34, rp=1 ---------> -5.14154e+11
t=1, n=40, r=3, m=34, rp=1 ---------> -3.83558e+10
t=0, n=41, r=3, m=34, rp=1 ---------> -6.9177e+11
t=1, n=41, r=3, m=34, rp=1 ---------> -2.99737e+11
t=0, n=42, r=3, m=34, rp=1 ---------> -7.04516e+11
t=1, n=42, r=3, m=34, rp=1 ---------> -4.46569e+11
t=0, n=43, r=3, m=34, rp=1 ---------> -4.88053e+11
t=1, n=43, r=3, m=34, rp=1 ---------> -3.38858e+11
t=0, n=44, r=3, m=34, rp=1 ---------> -2.86236e+10
t=1, n=44, r=3, m=34, rp=1 ---------> -9.16838e+10
t=0, n=45, r=3, m=34, rp=1 ---------> -1.20019e+10
t=1, n=45, r=3, m=34, rp=1 ---------> -2.99998e+10
t=0, n=0, r=0, m=35, rp=1 ---------> 1.32228e+12
t=1, n=0, r=0, m=35, rp=1 ---------> -1.16104e+11
t=0, n=1, r=0, m=35, rp=1 ---------> 1.1918e+11
t=1, n=1, r=0, m=35, rp=1 ---------> 1.64127e+09
t=0, n=2, r=0, m=35, rp=1 ---------> 1.26037e+11
t=1, n=2, r=0, m=35, rp=1 ---------> -5.92272e+10
t=0, n=3, r=0, m=35, rp=1 ---------> 4.83427e+11
t=1, n=3, r=0, m=35, rp=1 ---------> -1.06147e+10
t=0, n=4, r=0, m=35, rp=1 ---------> 2.99958e+11
t=1, n=4, r=0, m=35, rp=1 ---------> -2.18625e+11
t=0, n=5, r=0, m=35, rp=1 ---------> 6.4289e+11
t=1, n=5, r=0, m=35, rp=1 ---------> -2.22438e+11
t=0, n=6, r=0, m=35, rp=1 ---------> 8.59392e+11
t=1, n=6, r=0, m=35, rp=1 ---------> 1.98902e+11
t=0, n=7, r=0, m=35, rp=1 ---------> 5.08218e+11
t=1, n=7, r=0, m=35, rp=1 ---------> -1.41994e+11
t=0, n=8, r=0, m=35, rp=1 ---------> 2.99279e+11
t=1, n=8, r=0, m=35, rp=1 ---------> -1.36612e+11
t=0, n=9, r=0, m=35, rp=1 ---------> 9.91274e+11
t=1, n=9, r=0, m=35, rp=1 ---------> 4.48113e+11
t=0, n=10, r=0, m=35, rp=1 ---------> 5.67025e+11
t=1, n=10, r=0, m=35, rp=1 ---------> -3.39938e+10
t=0, n=11, r=0, m=35, rp=1 ---------> 6.2021e+11
t=1, n=11, r=0, m=35, rp=1 ---------> -2.27432e+11
t=0, n=12, r=0, m=35, rp=1 ---------> 4.54864e+11
t=1, n=12, r=0, m=35, rp=1 ---------> -4.11992e+09
t=0, n=13, r=0, m=35, rp=1 ---------> 6.15911e+11
t=1, n=13, r=0, m=35, rp=1 ---------> 2.12495e+11
t=0, n=14, r=0, m=35, rp=1 ---------> 3.69052e+11
t=1, n=14, r=0, m=35, rp=1 ---------> -6.64748e+10
t=0, n=15, r=0, m=35, rp=1 ---------> 6.32273e+11
t=1, n=15, r=0, m=35, rp=1 ---------> -1.78155e+11
t=0, n=16, r=0, m=35, rp=1 ---------> 3.85991e+11
t=1, n=16, r=0, m=35, rp=1 ---------> 1.20319e+11
t=0, n=17, r=0, m=35, rp=1 ---------> -2.42315e+10
t=1, n=17, r=0, m=35, rp=1 ---------> 1.03035e+11
t=0, n=18, r=0, m=35, rp=1 ---------> 5.83759e+11
t=1, n=18, r=0, m=35, rp=1 ---------> -2.78037e+11
t=0, n=19, r=0, m=35, rp=1 ---------> 4.60396e+11
t=1, n=19, r=0, m=35, rp=1 ---------> -2.7338e+11
t=0, n=20, r=0, m=35, rp=1 ---------> 4.6141e+11
t=1, n=20, r=0, m=35, rp=1 ---------> -2.1934e+11
t=0, n=21, r=0, m=35, rp=1 ---------> -3.73349e+10
t=1, n=21, r=0, m=35, rp=1 ---------> -3.78105e+11
t=0, n=22, r=0, m=35, rp=1 ---------> 1.01238e+12
t=1, n=22, r=0, m=35, rp=1 ---------> -3.14428e+11
t=0, n=23, r=0, m=35, rp=1 ---------> -5.25435e+10
t=1, n=23, r=0, m=35, rp=1 ---------> -1.89526e+11
t=0, n=24, r=0, m=35, rp=1 ---------> 1.01559e+12
t=1, n=24, r=0, m=35, rp=1 ---------> -2.29622e+11
t=0, n=25, r=0, m=35, rp=1 ---------> 6.65371e+11
t=1, n=25, r=0, m=35, rp=1 ---------> 2.93999e+10
t=0, n=26, r=0, m=35, rp=1 ---------> 3.76499e+11
t=1, n=26, r=0, m=35, rp=1 ---------> -2.167e+11
t=0, n=27, r=0, m=35, rp=1 ---------> 1.67256e+11
t=1, n=27, r=0, m=35, rp=1 ---------> -1.86581e+11
t=0, n=28, r=0, m=35, rp=1 ---------> 1.16547e+12
t=1, n=28, r=0, m=35, rp=1 ---------> 1.50944e+11
t=0, n=29, r=0, m=35, rp=1 ---------> 4.17749e+10
t=1, n=29, r=0, m=35, rp=1 ---------> -3.58339e+11
t=0, n=30, r=0, m=35, rp=1 ---------> 7.75901e+11
t=1, n=30, r=0, m=35, rp=1 ---------> 7.98906e+10
t=0, n=31, r=0, m=35, rp=1 ---------> 7.83242e+11
t=1, n=31, r=0, m=35, rp=1 ---------> -3.30771e+10
t=0, n=32, r=0, m=35, rp=1 ---------> 7.54887e+11
t=1, n=32, r=0, m=35, rp=1 ---------> -1.12436e+11
t=0, n=33, r=0, m=35, rp=1 ---------> -3.09927e+10
t=1, n=33, r=0, m=35, rp=1 ---------> -1.38526e+10
t=0, n=34, r=0, m=35, rp=1 ---------> 1.19806e+11
t=1, n=34, r=0, m=35, rp=1 ---------> 5.93488e+10
t=0, n=35, r=0, m=35, rp=1 ---------> 1.68912e+11
t=1, n=35, r=0, m=35, rp=1 ---------> 2.18912e+10
t=0, n=36, r=0, m=35, rp=1 ---------> 4.27372e+11
t=1, n=36, r=0, m=35, rp=1 ---------> -1.31035e+11
t=0, n=37, r=0, m=35, rp=1 ---------> 7.09019e+11
t=1, n=37, r=0, m=35, rp=1 ---------> -1.11636e+11
t=0, n=38, r=0, m=35, rp=1 ---------> 5.6756e+11
t=1, n=38, r=0, m=35, rp=1 ---------> -8.69402e+10
t=0, n=39, r=0, m=35, rp=1 ---------> 1.52825e+11
t=1, n=39, r=0, m=35, rp=1 ---------> -2.02768e+11
t=0, n=40, r=0, m=35, rp=1 ---------> 4.71453e+11
t=1, n=40, r=0, m=35, rp=1 ---------> -3.80771e+10
t=0, n=41, r=0, m=35, rp=1 ---------> 4.28718e+11
t=1, n=41, r=0, m=35, rp=1 ---------> -1.12538e+11
t=0, n=42, r=0, m=35, rp=1 ---------> 3.36624e+11
t=1, n=42, r=0, m=35, rp=1 ---------> -5.96177e+10
t=0, n=43, r=0, m=35, rp=1 ---------> 3.44778e+11
t=1, n=43, r=0, m=35, rp=1 ---------> 4.26755e+09
t=0, n=44, r=0, m=35, rp=1 ---------> -3.97532e+10
t=1, n=44, r=0, m=35, rp=1 ---------> 4.3904e+10
t=0, n=45, r=0, m=35, rp=1 ---------> -6.87128e+10
t=1, n=45, r=0, m=35, rp=1 ---------> 2.18506e+10
t=0, n=0, r=1, m=35, rp=1 ---------> 2.82574e+11
t=1, n=0, r=1, m=35, rp=1 ---------> -6.73154e+11
t=0, n=1, r=1, m=35, rp=1 ---------> -2.77554e+11
t=1, n=1, r=1, m=35, rp=1 ---------> 2.32416e+10
t=0, n=2, r=1, m=35, rp=1 ---------> -2.27272e+11
t=1, n=2, r=1, m=35, rp=1 ---------> 3.15671e+11
t=0, n=3, r=1, m=35, rp=1 ---------> -4.80986e+11
t=1, n=3, r=1, m=35, rp=1 ---------> -2.83039e+11
t=0, n=4, r=1, m=35, rp=1 ---------> -3.82258e+11
t=1, n=4, r=1, m=35, rp=1 ---------> -2.06232e+11
t=0, n=5, r=1, m=35, rp=1 ---------> -3.147e+11
t=1, n=5, r=1, m=35, rp=1 ---------> -5.64273e+11
t=0, n=6, r=1, m=35, rp=1 ---------> 1.17329e+11
t=1, n=6, r=1, m=35, rp=1 ---------> -4.27158e+11
t=0, n=7, r=1, m=35, rp=1 ---------> 1.03381e+11
t=1, n=7, r=1, m=35, rp=1 ---------> -6.19183e+11
t=0, n=8, r=1, m=35, rp=1 ---------> -5.59441e+11
t=1, n=8, r=1, m=35, rp=1 ---------> -4.58909e+10
t=0, n=9, r=1, m=35, rp=1 ---------> 5.70929e+11
t=1, n=9, r=1, m=35, rp=1 ---------> -2.94584e+11
t=0, n=10, r=1, m=35, rp=1 ---------> -2.04386e+11
t=1, n=10, r=1, m=35, rp=1 ---------> -2.56075e+11
t=0, n=11, r=1, m=35, rp=1 ---------> -1.1742e+10
t=1, n=11, r=1, m=35, rp=1 ---------> -2.93144e+11
t=0, n=12, r=1, m=35, rp=1 ---------> -3.41695e+11
t=1, n=12, r=1, m=35, rp=1 ---------> 8.16519e+10
t=0, n=13, r=1, m=35, rp=1 ---------> 1.84353e+11
t=1, n=13, r=1, m=35, rp=1 ---------> -5.50262e+11
t=0, n=14, r=1, m=35, rp=1 ---------> -1.22479e+11
t=1, n=14, r=1, m=35, rp=1 ---------> 1.31112e+11
t=0, n=15, r=1, m=35, rp=1 ---------> -2.4266e+11
t=1, n=15, r=1, m=35, rp=1 ---------> 2.04327e+11
t=0, n=16, r=1, m=35, rp=1 ---------> -1.76566e+11
t=1, n=16, r=1, m=35, rp=1 ---------> -1.80703e+10
t=0, n=17, r=1, m=35, rp=1 ---------> -2.88266e+11
t=1, n=17, r=1, m=35, rp=1 ---------> 3.15117e+11
t=0, n=18, r=1, m=35, rp=1 ---------> -1.20661e+11
t=1, n=18, r=1, m=35, rp=1 ---------> -2.29531e+10
t=0, n=19, r=1, m=35, rp=1 ---------> 3.18812e+11
t=1, n=19, r=1, m=35, rp=1 ---------> -3.21535e+11
t=0, n=20, r=1, m=35, rp=1 ---------> -2.74039e+11
t=1, n=20, r=1, m=35, rp=1 ---------> -4.16345e+11
t=0, n=21, r=1, m=35, rp=1 ---------> -4.59714e+11
t=1, n=21, r=1, m=35, rp=1 ---------> -2.684e+11
t=0, n=22, r=1, m=35, rp=1 ---------> -9.0448e+10
t=1, n=22, r=1, m=35, rp=1 ---------> -1.04171e+12
t=0, n=23, r=1, m=35, rp=1 ---------> -7.29716e+11
t=1, n=23, r=1, m=35, rp=1 ---------> -2.22099e+11
t=0, n=24, r=1, m=35, rp=1 ---------> -4.54261e+11
t=1, n=24, r=1, m=35, rp=1 ---------> -3.74213e+11
t=0, n=25, r=1, m=35, rp=1 ---------> -3.22953e+11
t=1, n=25, r=1, m=35, rp=1 ---------> -3.90648e+11
t=0, n=26, r=1, m=35, rp=1 ---------> 3.38012e+10
t=1, n=26, r=1, m=35, rp=1 ---------> -5.14103e+11
t=0, n=27, r=1, m=35, rp=1 ---------> -4.19678e+11
t=1, n=27, r=1, m=35, rp=1 ---------> 5.87095e+10
t=0, n=28, r=1, m=35, rp=1 ---------> 1.46366e+11
t=1, n=28, r=1, m=35, rp=1 ---------> -2.51892e+11
t=0, n=29, r=1, m=35, rp=1 ---------> -8.01467e+11
t=1, n=29, r=1, m=35, rp=1 ---------> 5.01925e+10
t=0, n=30, r=1, m=35, rp=1 ---------> 6.27817e+10
t=1, n=30, r=1, m=35, rp=1 ---------> 3.68469e+11
t=0, n=31, r=1, m=35, rp=1 ---------> 1.21091e+11
t=1, n=31, r=1, m=35, rp=1 ---------> -1.06632e+11
t=0, n=32, r=1, m=35, rp=1 ---------> 1.98389e+11
t=1, n=32, r=1, m=35, rp=1 ---------> -1.16721e+11
t=0, n=33, r=1, m=35, rp=1 ---------> -1.07309e+11
t=1, n=33, r=1, m=35, rp=1 ---------> 2.05927e+11
t=0, n=34, r=1, m=35, rp=1 ---------> 3.1853e+10
t=1, n=34, r=1, m=35, rp=1 ---------> 1.36997e+10
t=0, n=35, r=1, m=35, rp=1 ---------> -3.09754e+09
t=1, n=35, r=1, m=35, rp=1 ---------> -2.05262e+11
t=0, n=36, r=1, m=35, rp=1 ---------> 2.45635e+11
t=1, n=36, r=1, m=35, rp=1 ---------> -4.26101e+11
t=0, n=37, r=1, m=35, rp=1 ---------> 7.52848e+10
t=1, n=37, r=1, m=35, rp=1 ---------> -2.66802e+11
t=0, n=38, r=1, m=35, rp=1 ---------> 1.15548e+11
t=1, n=38, r=1, m=35, rp=1 ---------> -1.87639e+11
t=0, n=39, r=1, m=35, rp=1 ---------> -1.18186e+11
t=1, n=39, r=1, m=35, rp=1 ---------> 2.15328e+11
t=0, n=40, r=1, m=35, rp=1 ---------> 1.23658e+11
t=1, n=40, r=1, m=35, rp=1 ---------> -5.3117e+10
t=0, n=41, r=1, m=35, rp=1 ---------> -4.0035e+11
t=1, n=41, r=1, m=35, rp=1 ---------> -2.38409e+11
t=0, n=42, r=1, m=35, rp=1 ---------> -3.34586e+11
t=1, n=42, r=1, m=35, rp=1 ---------> -1.75427e+11
t=0, n=43, r=1, m=35, rp=1 ---------> 1.94865e+11
t=1, n=43, r=1, m=35, rp=1 ---------> -6.82004e+09
t=0, n=44, r=1, m=35, rp=1 ---------> 3.1319e+10
t=1, n=44, r=1, m=35, rp=1 ---------> -4.65388e+10
t=0, n=45, r=1, m=35, rp=1 ---------> 3.38187e+10
t=1, n=45, r=1, m=35, rp=1 ---------> 2.01799e+10
t=0, n=0, r=2, m=35, rp=1 ---------> 3.68257e+11
t=1, n=0, r=2, m=35, rp=1 ---------> -2.52849e+11
t=0, n=1, r=2, m=35, rp=1 ---------> 4.39796e+11
t=1, n=1, r=2, m=35, rp=1 ---------> -2.62345e+11
t=0, n=2, r=2, m=35, rp=1 ---------> 4.75824e+11
t=1, n=2, r=2, m=35, rp=1 ---------> -4.06636e+11
t=0, n=3, r=2, m=35, rp=1 ---------> 5.26995e+11
t=1, n=3, r=2, m=35, rp=1 ---------> -1.34688e+11
t=0, n=4, r=2, m=35, rp=1 ---------> 7.13716e+11
t=1, n=4, r=2, m=35, rp=1 ---------> 3.12261e+10
t=0, n=5, r=2, m=35, rp=1 ---------> 3.44571e+11
t=1, n=5, r=2, m=35, rp=1 ---------> 2.95909e+11
t=0, n=6, r=2, m=35, rp=1 ---------> 1.08625e+11
t=1, n=6, r=2, m=35, rp=1 ---------> -4.62114e+11
t=0, n=7, r=2, m=35, rp=1 ---------> 1.21495e+11
t=1, n=7, r=2, m=35, rp=1 ---------> -2.01814e+11
t=0, n=8, r=2, m=35, rp=1 ---------> 7.12863e+11
t=1, n=8, r=2, m=35, rp=1 ---------> -3.02177e+11
t=0, n=9, r=2, m=35, rp=1 ---------> -5.05203e+10
t=1, n=9, r=2, m=35, rp=1 ---------> -7.10968e+11
t=0, n=10, r=2, m=35, rp=1 ---------> 1.24174e+11
t=1, n=10, r=2, m=35, rp=1 ---------> 5.04323e+09
t=0, n=11, r=2, m=35, rp=1 ---------> 1.57275e+11
t=1, n=11, r=2, m=35, rp=1 ---------> 1.81917e+11
t=0, n=12, r=2, m=35, rp=1 ---------> 4.15642e+11
t=1, n=12, r=2, m=35, rp=1 ---------> 9.40143e+10
t=0, n=13, r=2, m=35, rp=1 ---------> -1.8951e+11
t=1, n=13, r=2, m=35, rp=1 ---------> -4.32491e+11
t=0, n=14, r=2, m=35, rp=1 ---------> 1.13145e+11
t=1, n=14, r=2, m=35, rp=1 ---------> -6.68248e+11
t=0, n=15, r=2, m=35, rp=1 ---------> 9.68326e+11
t=1, n=15, r=2, m=35, rp=1 ---------> 8.34133e+10
t=0, n=16, r=2, m=35, rp=1 ---------> 3.61074e+11
t=1, n=16, r=2, m=35, rp=1 ---------> 4.1489e+11
t=0, n=17, r=2, m=35, rp=1 ---------> 3.64557e+11
t=1, n=17, r=2, m=35, rp=1 ---------> 2.03253e+10
t=0, n=18, r=2, m=35, rp=1 ---------> 4.03722e+11
t=1, n=18, r=2, m=35, rp=1 ---------> 1.25107e+11
t=0, n=19, r=2, m=35, rp=1 ---------> 1.12213e+11
t=1, n=19, r=2, m=35, rp=1 ---------> -1.0637e+11
t=0, n=20, r=2, m=35, rp=1 ---------> 3.68602e+11
t=1, n=20, r=2, m=35, rp=1 ---------> 6.19559e+10
t=0, n=21, r=2, m=35, rp=1 ---------> 4.29138e+11
t=1, n=21, r=2, m=35, rp=1 ---------> 1.04721e+11
t=0, n=22, r=2, m=35, rp=1 ---------> 4.3354e+11
t=1, n=22, r=2, m=35, rp=1 ---------> 7.2972e+09
t=0, n=23, r=2, m=35, rp=1 ---------> 4.20886e+11
t=1, n=23, r=2, m=35, rp=1 ---------> -1.6125e+11
t=0, n=24, r=2, m=35, rp=1 ---------> 9.26961e+11
t=1, n=24, r=2, m=35, rp=1 ---------> 3.31513e+10
t=0, n=25, r=2, m=35, rp=1 ---------> 4.86895e+11
t=1, n=25, r=2, m=35, rp=1 ---------> -1.40221e+11
t=0, n=26, r=2, m=35, rp=1 ---------> -3.83814e+08
t=1, n=26, r=2, m=35, rp=1 ---------> 2.16539e+11
t=0, n=27, r=2, m=35, rp=1 ---------> 7.87309e+11
t=1, n=27, r=2, m=35, rp=1 ---------> -4.08399e+11
t=0, n=28, r=2, m=35, rp=1 ---------> 2.47685e+11
t=1, n=28, r=2, m=35, rp=1 ---------> 6.58562e+10
t=0, n=29, r=2, m=35, rp=1 ---------> 9.75525e+11
t=1, n=29, r=2, m=35, rp=1 ---------> -1.23395e+11
t=0, n=30, r=2, m=35, rp=1 ---------> 6.43247e+11
t=1, n=30, r=2, m=35, rp=1 ---------> -4.66742e+11
t=0, n=31, r=2, m=35, rp=1 ---------> -7.55655e+10
t=1, n=31, r=2, m=35, rp=1 ---------> -1.36696e+11
t=0, n=32, r=2, m=35, rp=1 ---------> 5.59129e+11
t=1, n=32, r=2, m=35, rp=1 ---------> -3.65127e+11
t=0, n=33, r=2, m=35, rp=1 ---------> 1.09469e+11
t=1, n=33, r=2, m=35, rp=1 ---------> -1.39534e+11
t=0, n=34, r=2, m=35, rp=1 ---------> 1.85065e+11
t=1, n=34, r=2, m=35, rp=1 ---------> 1.01106e+11
t=0, n=35, r=2, m=35, rp=1 ---------> 4.34719e+10
t=1, n=35, r=2, m=35, rp=1 ---------> -1.75939e+11
t=0, n=36, r=2, m=35, rp=1 ---------> 1.4817e+11
t=1, n=36, r=2, m=35, rp=1 ---------> -1.04823e+11
t=0, n=37, r=2, m=35, rp=1 ---------> -8.50057e+10
t=1, n=37, r=2, m=35, rp=1 ---------> -2.88847e+11
t=0, n=38, r=2, m=35, rp=1 ---------> 4.18093e+11
t=1, n=38, r=2, m=35, rp=1 ---------> -1.5804e+11
t=0, n=39, r=2, m=35, rp=1 ---------> 7.50404e+11
t=1, n=39, r=2, m=35, rp=1 ---------> -5.11034e+11
t=0, n=40, r=2, m=35, rp=1 ---------> 4.5749e+11
t=1, n=40, r=2, m=35, rp=1 ---------> -3.9904e+11
t=0, n=41, r=2, m=35, rp=1 ---------> 5.47149e+11
t=1, n=41, r=2, m=35, rp=1 ---------> 2.30834e+11
t=0, n=42, r=2, m=35, rp=1 ---------> 5.80238e+11
t=1, n=42, r=2, m=35, rp=1 ---------> 8.18973e+10
t=0, n=43, r=2, m=35, rp=1 ---------> 1.67704e+11
t=1, n=43, r=2, m=35, rp=1 ---------> -4.17634e+10
t=0, n=44, r=2, m=35, rp=1 ---------> -3.97532e+10
t=1, n=44, r=2, m=35, rp=1 ---------> 4.3904e+10
t=0, n=45, r=2, m=35, rp=1 ---------> -6.87128e+10
t=1, n=45, r=2, m=35, rp=1 ---------> 2.18506e+10
t=0, n=0, r=3, m=35, rp=1 ---------> -1.49261e+12
t=1, n=0, r=3, m=35, rp=1 ---------> -5.2588e+11
t=0, n=1, r=3, m=35, rp=1 ---------> -1.34726e+12
t=1, n=1, r=3, m=35, rp=1 ---------> 2.27936e+11
t=0, n=2, r=3, m=35, rp=1 ---------> -1.01326e+12
t=1, n=2, r=3, m=35, rp=1 ---------> 3.10714e+11
t=0, n=3, r=3, m=35, rp=1 ---------> -1.39523e+12
t=1, n=3, r=3, m=35, rp=1 ---------> 4.69387e+10
t=0, n=4, r=3, m=35, rp=1 ---------> -1.01329e+12
t=1, n=4, r=3, m=35, rp=1 ---------> -4.2562e+11
t=0, n=5, r=3, m=35, rp=1 ---------> -8.92462e+11
t=1, n=5, r=3, m=35, rp=1 ---------> -7.04881e+11
t=0, n=6, r=3, m=35, rp=1 ---------> -9.10651e+11
t=1, n=6, r=3, m=35, rp=1 ---------> 2.58823e+10
t=0, n=7, r=3, m=35, rp=1 ---------> -8.01868e+11
t=1, n=7, r=3, m=35, rp=1 ---------> -5.70128e+10
t=0, n=8, r=3, m=35, rp=1 ---------> -1.63761e+12
t=1, n=8, r=3, m=35, rp=1 ---------> 1.70083e+11
t=0, n=9, r=3, m=35, rp=1 ---------> -1.254e+12
t=1, n=9, r=3, m=35, rp=1 ---------> -6.65495e+10
t=0, n=10, r=3, m=35, rp=1 ---------> -3.88317e+11
t=1, n=10, r=3, m=35, rp=1 ---------> -2.32432e+11
t=0, n=11, r=3, m=35, rp=1 ---------> -7.68935e+11
t=1, n=11, r=3, m=35, rp=1 ---------> -6.91182e+11
t=0, n=12, r=3, m=35, rp=1 ---------> -8.26875e+11
t=1, n=12, r=3, m=35, rp=1 ---------> -6.09887e+10
t=0, n=13, r=3, m=35, rp=1 ---------> -8.22716e+11
t=1, n=13, r=3, m=35, rp=1 ---------> 1.2525e+11
t=0, n=14, r=3, m=35, rp=1 ---------> -9.48543e+11
t=1, n=14, r=3, m=35, rp=1 ---------> -7.43751e+10
t=0, n=15, r=3, m=35, rp=1 ---------> -1.13082e+12
t=1, n=15, r=3, m=35, rp=1 ---------> -2.8909e+11
t=0, n=16, r=3, m=35, rp=1 ---------> -6.2108e+11
t=1, n=16, r=3, m=35, rp=1 ---------> -3.48332e+11
t=0, n=17, r=3, m=35, rp=1 ---------> -1.47133e+12
t=1, n=17, r=3, m=35, rp=1 ---------> -8.5282e+10
t=0, n=18, r=3, m=35, rp=1 ---------> -7.15289e+11
t=1, n=18, r=3, m=35, rp=1 ---------> -4.34467e+11
t=0, n=19, r=3, m=35, rp=1 ---------> -5.70774e+10
t=1, n=19, r=3, m=35, rp=1 ---------> -4.18698e+11
t=0, n=20, r=3, m=35, rp=1 ---------> -8.17416e+11
t=1, n=20, r=3, m=35, rp=1 ---------> -3.26312e+11
t=0, n=21, r=3, m=35, rp=1 ---------> -7.02701e+11
t=1, n=21, r=3, m=35, rp=1 ---------> -3.13039e+11
t=0, n=22, r=3, m=35, rp=1 ---------> -1.43444e+12
t=1, n=22, r=3, m=35, rp=1 ---------> -8.25602e+11
t=0, n=23, r=3, m=35, rp=1 ---------> -1.22244e+12
t=1, n=23, r=3, m=35, rp=1 ---------> 1.8736e+10
t=0, n=24, r=3, m=35, rp=1 ---------> -1.69282e+12
t=1, n=24, r=3, m=35, rp=1 ---------> -5.66315e+11
t=0, n=25, r=3, m=35, rp=1 ---------> -1.4425e+12
t=1, n=25, r=3, m=35, rp=1 ---------> -1.28722e+11
t=0, n=26, r=3, m=35, rp=1 ---------> -6.65431e+11
t=1, n=26, r=3, m=35, rp=1 ---------> -6.68105e+11
t=0, n=27, r=3, m=35, rp=1 ---------> -1.48688e+12
t=1, n=27, r=3, m=35, rp=1 ---------> 3.69e+11
t=0, n=28, r=3, m=35, rp=1 ---------> -8.3335e+11
t=1, n=28, r=3, m=35, rp=1 ---------> -3.74224e+11
t=0, n=29, r=3, m=35, rp=1 ---------> -1.27506e+12
t=1, n=29, r=3, m=35, rp=1 ---------> -2.05399e+11
t=0, n=30, r=3, m=35, rp=1 ---------> -1.24656e+12
t=1, n=30, r=3, m=35, rp=1 ---------> -4.28164e+09
t=0, n=31, r=3, m=35, rp=1 ---------> -1.16166e+11
t=1, n=31, r=3, m=35, rp=1 ---------> -5.18018e+11
t=0, n=32, r=3, m=35, rp=1 ---------> -7.78351e+11
t=1, n=32, r=3, m=35, rp=1 ---------> -3.23139e+11
t=0, n=33, r=3, m=35, rp=1 ---------> -4.12764e+11
t=1, n=33, r=3, m=35, rp=1 ---------> 4.41262e+09
t=0, n=34, r=3, m=35, rp=1 ---------> -1.31126e+12
t=1, n=34, r=3, m=35, rp=1 ---------> -4.40483e+11
t=0, n=35, r=3, m=35, rp=1 ---------> -6.19197e+11
t=1, n=35, r=3, m=35, rp=1 ---------> -6.22278e+09
t=0, n=36, r=3, m=35, rp=1 ---------> -4.35163e+11
t=1, n=36, r=3, m=35, rp=1 ---------> -3.09767e+11
t=0, n=37, r=3, m=35, rp=1 ---------> -4.10708e+11
t=1, n=37, r=3, m=35, rp=1 ---------> -5.53677e+11
t=0, n=38, r=3, m=35, rp=1 ---------> -8.08672e+11
t=1, n=38, r=3, m=35, rp=1 ---------> -1.44222e+11
t=0, n=39, r=3, m=35, rp=1 ---------> -1.21753e+12
t=1, n=39, r=3, m=35, rp=1 ---------> 1.75439e+11
t=0, n=40, r=3, m=35, rp=1 ---------> -8.8494e+11
t=1, n=40, r=3, m=35, rp=1 ---------> 7.16868e+10
t=0, n=41, r=3, m=35, rp=1 ---------> -5.27462e+11
t=1, n=41, r=3, m=35, rp=1 ---------> -1.13323e+11
t=0, n=42, r=3, m=35, rp=1 ---------> -1.15861e+12
t=1, n=42, r=3, m=35, rp=1 ---------> -4.21434e+11
t=0, n=43, r=3, m=35, rp=1 ---------> -5.91287e+11
t=1, n=43, r=3, m=35, rp=1 ---------> -1.81432e+11
t=0, n=44, r=3, m=35, rp=1 ---------> -7.44532e+10
t=1, n=44, r=3, m=35, rp=1 ---------> -1.3793e+11
t=0, n=45, r=3, m=35, rp=1 ---------> -2.93995e+10
t=1, n=45, r=3, m=35, rp=1 ---------> -7.7134e+10
t=0, n=0, r=0, m=36, rp=1 ---------> 3.64916e+10
t=1, n=0, r=0, m=36, rp=1 ---------> -8.28476e+11
t=0, n=1, r=0, m=36, rp=1 ---------> -2.90087e+10
t=1, n=1, r=0, m=36, rp=1 ---------> -3.55176e+11
t=0, n=2, r=0, m=36, rp=1 ---------> -4.64806e+11
t=1, n=2, r=0, m=36, rp=1 ---------> -5.69718e+11
t=0, n=3, r=0, m=36, rp=1 ---------> -8.18387e+10
t=1, n=3, r=0, m=36, rp=1 ---------> -8.06301e+11
t=0, n=4, r=0, m=36, rp=1 ---------> -1.79309e+11
t=1, n=4, r=0, m=36, rp=1 ---------> -5.15359e+11
t=0, n=5, r=0, m=36, rp=1 ---------> -7.0321e+10
t=1, n=5, r=0, m=36, rp=1 ---------> -6.57643e+11
t=0, n=6, r=0, m=36, rp=1 ---------> 7.61953e+10
t=1, n=6, r=0, m=36, rp=1 ---------> -3.56576e+11
t=0, n=7, r=0, m=36, rp=1 ---------> 1.27272e+10
t=1, n=7, r=0, m=36, rp=1 ---------> -5.8946e+11
t=0, n=8, r=0, m=36, rp=1 ---------> 6.61685e+08
t=1, n=8, r=0, m=36, rp=1 ---------> -7.56825e+11
t=0, n=9, r=0, m=36, rp=1 ---------> -4.81026e+11
t=1, n=9, r=0, m=36, rp=1 ---------> -3.73952e+11
t=0, n=10, r=0, m=36, rp=1 ---------> 2.63774e+10
t=1, n=10, r=0, m=36, rp=1 ---------> -4.89041e+11
t=0, n=11, r=0, m=36, rp=1 ---------> 6.37676e+10
