t=0, n=10, r=3, m=0, rp=0 ---------> -0.000583837
t=1, n=10, r=3, m=0, rp=0 ---------> 0.000485926
t=0, n=11, r=3, m=0, rp=0 ---------> -0.00171828
t=1, n=11, r=3, m=0, rp=0 ---------> 0.00225275
t=0, n=12, r=3, m=0, rp=0 ---------> -0.00119958
t=1, n=12, r=3, m=0, rp=0 ---------> 0.00117945
t=0, n=13, r=3, m=0, rp=0 ---------> -0.00176611
t=1, n=13, r=3, m=0, rp=0 ---------> 0.000541402
t=0, n=14, r=3, m=0, rp=0 ---------> -0.002008
t=1, n=14, r=3, m=0, rp=0 ---------> 0.00101039
t=0, n=15, r=3, m=0, rp=0 ---------> -0.0012435
t=1, n=15, r=3, m=0, rp=0 ---------> 0.00159556
t=0, n=16, r=3, m=0, rp=0 ---------> -0.000583644
t=1, n=16, r=3, m=0, rp=0 ---------> 0.000686062
t=0, n=17, r=3, m=0, rp=0 ---------> -0.00363368
t=1, n=17, r=3, m=0, rp=0 ---------> 0.00103459
t=0, n=18, r=3, m=0, rp=0 ---------> -0.000543319
t=1, n=18, r=3, m=0, rp=0 ---------> 0.00229679
t=0, n=19, r=3, m=0, rp=0 ---------> 0.00116096
t=1, n=19, r=3, m=0, rp=0 ---------> 0.00180905
t=0, n=20, r=3, m=0, rp=0 ---------> -0.000709739
t=1, n=20, r=3, m=0, rp=0 ---------> 0.00174481
t=0, n=21, r=3, m=0, rp=0 ---------> -0.000574507
t=1, n=21, r=3, m=0, rp=0 ---------> 0.00133334
t=0, n=22, r=3, m=0, rp=0 ---------> -0.00114276
t=1, n=22, r=3, m=0, rp=0 ---------> 0.00407488
t=0, n=23, r=3, m=0, rp=0 ---------> -0.00167499
t=1, n=23, r=3, m=0, rp=0 ---------> 0.00190516
t=0, n=24, r=3, m=0, rp=0 ---------> -0.00105216
t=1, n=24, r=3, m=0, rp=0 ---------> 0.00312227
t=0, n=25, r=3, m=0, rp=0 ---------> -0.00158896
t=1, n=25, r=3, m=0, rp=0 ---------> 0.00185469
t=0, n=26, r=3, m=0, rp=0 ---------> -0.0013586
t=1, n=26, r=3, m=0, rp=0 ---------> 0.00221783
t=0, n=27, r=3, m=0, rp=0 ---------> -0.00153118
t=1, n=27, r=3, m=0, rp=0 ---------> 0.00162761
t=0, n=28, r=3, m=0, rp=0 ---------> -0.000842711
t=1, n=28, r=3, m=0, rp=0 ---------> 0.00175345
t=0, n=29, r=3, m=0, rp=0 ---------> -0.00120556
t=1, n=29, r=3, m=0, rp=0 ---------> 0.00274142
t=0, n=30, r=3, m=0, rp=0 ---------> -0.001922
t=1, n=30, r=3, m=0, rp=0 ---------> 0.000941407
t=0, n=31, r=3, m=0, rp=0 ---------> -0.000391002
t=1, n=31, r=3, m=0, rp=0 ---------> 0.00118519
t=0, n=32, r=3, m=0, rp=0 ---------> 0.000190614
t=1, n=32, r=3, m=0, rp=0 ---------> 0.00157316
t=0, n=33, r=3, m=0, rp=0 ---------> -0.00170805
t=1, n=33, r=3, m=0, rp=0 ---------> -4.775e-05
t=0, n=34, r=3, m=0, rp=0 ---------> -0.00224604
t=1, n=34, r=3, m=0, rp=0 ---------> 0.00206562
t=0, n=35, r=3, m=0, rp=0 ---------> -0.000869753
t=1, n=35, r=3, m=0, rp=0 ---------> 0.000772041
t=0, n=36, r=3, m=0, rp=0 ---------> 7.89653e-05
t=1, n=36, r=3, m=0, rp=0 ---------> 0.00178345
