t=1, n=14, r=3, m=44, rp=1 ---------> 0
t=0, n=15, r=3, m=44, rp=1 ---------> 0
t=1, n=15, r=3, m=44, rp=1 ---------> 0
t=0, n=16, r=3, m=44, rp=1 ---------> 0
t=1, n=16, r=3, m=44, rp=1 ---------> 0
t=0, n=17, r=3, m=44, rp=1 ---------> 0
t=1, n=17, r=3, m=44, rp=1 ---------> 0
t=0, n=18, r=3, m=44, rp=1 ---------> 0
t=1, n=18, r=3, m=44, rp=1 ---------> 0
t=0, n=19, r=3, m=44, rp=1 ---------> 0
t=1, n=19, r=3, m=44, rp=1 ---------> 0
t=0, n=20, r=3, m=44, rp=1 ---------> 0
t=1, n=20, r=3, m=44, rp=1 ---------> 0
t=0, n=21, r=3, m=44, rp=1 ---------> 0
t=1, n=21, r=3, m=44, rp=1 ---------> 0
t=0, n=22, r=3, m=44, rp=1 ---------> 0
t=1, n=22, r=3, m=44, rp=1 ---------> 0
t=0, n=23, r=3, m=44, rp=1 ---------> 0
t=1, n=23, r=3, m=44, rp=1 ---------> 0
t=0, n=24, r=3, m=44, rp=1 ---------> 0
t=1, n=24, r=3, m=44, rp=1 ---------> 0
t=0, n=25, r=3, m=44, rp=1 ---------> 0
t=1, n=25, r=3, m=44, rp=1 ---------> 0
t=0, n=26, r=3, m=44, rp=1 ---------> 0
t=1, n=26, r=3, m=44, rp=1 ---------> 0
t=0, n=27, r=3, m=44, rp=1 ---------> 0
t=1, n=27, r=3, m=44, rp=1 ---------> 0
t=0, n=28, r=3, m=44, rp=1 ---------> 0
t=1, n=28, r=3, m=44, rp=1 ---------> 0
t=0, n=29, r=3, m=44, rp=1 ---------> 0
t=1, n=29, r=3, m=44, rp=1 ---------> 0
t=0, n=30, r=3, m=44, rp=1 ---------> 0
t=1, n=30, r=3, m=44, rp=1 ---------> 0
t=0, n=31, r=3, m=44, rp=1 ---------> 0
t=1, n=31, r=3, m=44, rp=1 ---------> 0
t=0, n=32, r=3, m=44, rp=1 ---------> 0
t=1, n=32, r=3, m=44, rp=1 ---------> 0
t=0, n=33, r=3, m=44, rp=1 ---------> 0
t=1, n=33, r=3, m=44, rp=1 ---------> 0
t=0, n=34, r=3, m=44, rp=1 ---------> 0
t=1, n=34, r=3, m=44, rp=1 ---------> 0
t=0, n=35, r=3, m=44, rp=1 ---------> 0
t=1, n=35, r=3, m=44, rp=1 ---------> 0
t=0, n=36, r=3, m=44, rp=1 ---------> 0
t=1, n=36, r=3, m=44, rp=1 ---------> 0
t=0, n=37, r=3, m=44, rp=1 ---------> 0
t=1, n=37, r=3, m=44, rp=1 ---------> 0
t=0, n=38, r=3, m=44, rp=1 ---------> 0
t=1, n=38, r=3, m=44, rp=1 ---------> 0
t=0, n=39, r=3, m=44, rp=1 ---------> 0
t=1, n=39, r=3, m=44, rp=1 ---------> 0
t=0, n=40, r=3, m=44, rp=1 ---------> 0
t=1, n=40, r=3, m=44, rp=1 ---------> 0
t=0, n=41, r=3, m=44, rp=1 ---------> 0
t=1, n=41, r=3, m=44, rp=1 ---------> 0
t=0, n=42, r=3, m=44, rp=1 ---------> 0
t=1, n=42, r=3, m=44, rp=1 ---------> 0
t=0, n=43, r=3, m=44, rp=1 ---------> 0
t=1, n=43, r=3, m=44, rp=1 ---------> 0
t=0, n=44, r=3, m=44, rp=1 ---------> 0
t=1, n=44, r=3, m=44, rp=1 ---------> 0
t=0, n=0, r=0, m=0, rp=2 ---------> -6.32723e+11
t=1, n=0, r=0, m=0, rp=2 ---------> 9.00592e+10
t=0, n=1, r=0, m=0, rp=2 ---------> -9.08552e+11
t=1, n=1, r=0, m=0, rp=2 ---------> 4.3923e+11
t=0, n=2, r=0, m=0, rp=2 ---------> -7.0719e+11
t=1, n=2, r=0, m=0, rp=2 ---------> 5.04619e+11
t=0, n=3, r=0, m=0, rp=2 ---------> -6.5742e+11
t=1, n=3, r=0, m=0, rp=2 ---------> 5.19697e+11
t=0, n=4, r=0, m=0, rp=2 ---------> -4.83104e+11
t=1, n=4, r=0, m=0, rp=2 ---------> 1.51733e+11
t=0, n=5, r=0, m=0, rp=2 ---------> -3.60527e+11
t=1, n=5, r=0, m=0, rp=2 ---------> 3.13959e+11
t=0, n=6, r=0, m=0, rp=2 ---------> -7.78205e+11
t=1, n=6, r=0, m=0, rp=2 ---------> 2.64915e+11
t=0, n=7, r=0, m=0, rp=2 ---------> -3.10936e+11
t=1, n=7, r=0, m=0, rp=2 ---------> -1.48525e+11
t=0, n=8, r=0, m=0, rp=2 ---------> -6.32388e+11
t=1, n=8, r=0, m=0, rp=2 ---------> 5.08114e+11
t=0, n=9, r=0, m=0, rp=2 ---------> -1.05425e+12
t=1, n=9, r=0, m=0, rp=2 ---------> 6.12508e+11
t=0, n=10, r=0, m=0, rp=2 ---------> -2.24437e+11
t=1, n=10, r=0, m=0, rp=2 ---------> 4.35047e+11
t=0, n=11, r=0, m=0, rp=2 ---------> -4.63745e+11
t=1, n=11, r=0, m=0, rp=2 ---------> 2.86693e+11
t=0, n=12, r=0, m=0, rp=2 ---------> -3.21569e+11
t=1, n=12, r=0, m=0, rp=2 ---------> 4.32318e+11
t=0, n=13, r=0, m=0, rp=2 ---------> -5.04326e+11
t=1, n=13, r=0, m=0, rp=2 ---------> 2.56747e+11
t=0, n=14, r=0, m=0, rp=2 ---------> -9.63435e+11
t=1, n=14, r=0, m=0, rp=2 ---------> 2.79173e+11
t=0, n=15, r=0, m=0, rp=2 ---------> -1.89503e+11
t=1, n=15, r=0, m=0, rp=2 ---------> 2.19325e+11
t=0, n=16, r=0, m=0, rp=2 ---------> -1.48181e+11
t=1, n=16, r=0, m=0, rp=2 ---------> 2.02883e+11
t=0, n=17, r=0, m=0, rp=2 ---------> -1.1465e+12
t=1, n=17, r=0, m=0, rp=2 ---------> 7.85211e+11
t=0, n=18, r=0, m=0, rp=2 ---------> -4.52226e+11
t=1, n=18, r=0, m=0, rp=2 ---------> 3.2501e+11
t=0, n=19, r=0, m=0, rp=2 ---------> 7.30638e+10
t=1, n=19, r=0, m=0, rp=2 ---------> -3.55413e+11
t=0, n=20, r=0, m=0, rp=2 ---------> -1.95364e+11
t=1, n=20, r=0, m=0, rp=2 ---------> 2.62299e+10
t=0, n=21, r=0, m=0, rp=2 ---------> -1.62975e+11
t=1, n=21, r=0, m=0, rp=2 ---------> -1.64538e+11
t=0, n=22, r=0, m=0, rp=2 ---------> -5.03109e+11
t=1, n=22, r=0, m=0, rp=2 ---------> -1.24232e+11
t=0, n=23, r=0, m=0, rp=2 ---------> -4.54204e+11
t=1, n=23, r=0, m=0, rp=2 ---------> 4.42756e+11
t=0, n=24, r=0, m=0, rp=2 ---------> -6.39066e+11
t=1, n=24, r=0, m=0, rp=2 ---------> 2.24616e+11
t=0, n=25, r=0, m=0, rp=2 ---------> -4.99097e+11
t=1, n=25, r=0, m=0, rp=2 ---------> 4.55915e+11
t=0, n=26, r=0, m=0, rp=2 ---------> -3.86213e+11
t=1, n=26, r=0, m=0, rp=2 ---------> 2.09531e+11
t=0, n=27, r=0, m=0, rp=2 ---------> -3.07565e+11
t=1, n=27, r=0, m=0, rp=2 ---------> 6.13893e+10
t=0, n=28, r=0, m=0, rp=2 ---------> -5.60908e+11
t=1, n=28, r=0, m=0, rp=2 ---------> 4.09564e+11
t=0, n=29, r=0, m=0, rp=2 ---------> -3.34516e+11
t=1, n=29, r=0, m=0, rp=2 ---------> 1.46595e+11
t=0, n=30, r=0, m=0, rp=2 ---------> -8.73661e+11
t=1, n=30, r=0, m=0, rp=2 ---------> 5.41991e+11
t=0, n=31, r=0, m=0, rp=2 ---------> -2.26629e+11
t=1, n=31, r=0, m=0, rp=2 ---------> -7.52363e+10
t=0, n=32, r=0, m=0, rp=2 ---------> -3.46911e+11
t=1, n=32, r=0, m=0, rp=2 ---------> -3.00298e+10
t=0, n=33, r=0, m=0, rp=2 ---------> -4.26453e+11
t=1, n=33, r=0, m=0, rp=2 ---------> 3.25235e+11
t=0, n=34, r=0, m=0, rp=2 ---------> -1.21191e+12
t=1, n=34, r=0, m=0, rp=2 ---------> 5.26051e+11
t=0, n=35, r=0, m=0, rp=2 ---------> -3.58212e+11
t=1, n=35, r=0, m=0, rp=2 ---------> 1.49578e+11
t=0, n=36, r=0, m=0, rp=2 ---------> -2.73737e+11
t=1, n=36, r=0, m=0, rp=2 ---------> -2.67166e+11
t=0, n=37, r=0, m=0, rp=2 ---------> -5.77225e+11
t=1, n=37, r=0, m=0, rp=2 ---------> 3.5105e+11
t=0, n=38, r=0, m=0, rp=2 ---------> -5.7372e+11
t=1, n=38, r=0, m=0, rp=2 ---------> 6.26995e+10
t=0, n=39, r=0, m=0, rp=2 ---------> -7.07967e+11
t=1, n=39, r=0, m=0, rp=2 ---------> -5.43314e+10
t=0, n=40, r=0, m=0, rp=2 ---------> -2.93561e+11
t=1, n=40, r=0, m=0, rp=2 ---------> 1.65907e+11
t=0, n=41, r=0, m=0, rp=2 ---------> 6.56036e+10
t=1, n=41, r=0, m=0, rp=2 ---------> 1.57682e+10
t=0, n=42, r=0, m=0, rp=2 ---------> -5.57577e+11
t=1, n=42, r=0, m=0, rp=2 ---------> 2.91963e+11
t=0, n=43, r=0, m=0, rp=2 ---------> -5.27641e+11
t=1, n=43, r=0, m=0, rp=2 ---------> 7.82448e+10
t=0, n=44, r=0, m=0, rp=2 ---------> 1.6031e+10
t=1, n=44, r=0, m=0, rp=2 ---------> 1.0896e+10
t=0, n=0, r=1, m=0, rp=2 ---------> 1.97861e+12
t=1, n=0, r=1, m=0, rp=2 ---------> 1.60526e+12
t=0, n=1, r=1, m=0, rp=2 ---------> 7.76504e+11
t=1, n=1, r=1, m=0, rp=2 ---------> 1.3918e+12
t=0, n=2, r=1, m=0, rp=2 ---------> 1.27095e+12
t=1, n=2, r=1, m=0, rp=2 ---------> 5.13259e+11
t=0, n=3, r=1, m=0, rp=2 ---------> 1.7646e+12
t=1, n=3, r=1, m=0, rp=2 ---------> 7.57535e+11
t=0, n=4, r=1, m=0, rp=2 ---------> 1.44286e+12
t=1, n=4, r=1, m=0, rp=2 ---------> 7.10416e+11
t=0, n=5, r=1, m=0, rp=2 ---------> 2.20622e+12
t=1, n=5, r=1, m=0, rp=2 ---------> 7.64477e+11
t=0, n=6, r=1, m=0, rp=2 ---------> 9.98109e+11
t=1, n=6, r=1, m=0, rp=2 ---------> 8.97088e+11
t=0, n=7, r=1, m=0, rp=2 ---------> 6.24677e+11
t=1, n=7, r=1, m=0, rp=2 ---------> 1.36594e+12
t=0, n=8, r=1, m=0, rp=2 ---------> 1.49197e+12
t=1, n=8, r=1, m=0, rp=2 ---------> 5.40796e+11
t=0, n=9, r=1, m=0, rp=2 ---------> 1.76618e+12
t=1, n=9, r=1, m=0, rp=2 ---------> 2.10236e+12
t=0, n=10, r=1, m=0, rp=2 ---------> 1.38747e+12
t=1, n=10, r=1, m=0, rp=2 ---------> 4.21908e+11
t=0, n=11, r=1, m=0, rp=2 ---------> 1.61608e+12
t=1, n=11, r=1, m=0, rp=2 ---------> 8.57714e+11
t=0, n=12, r=1, m=0, rp=2 ---------> 1.15621e+12
t=1, n=12, r=1, m=0, rp=2 ---------> 4.09897e+10
t=0, n=13, r=1, m=0, rp=2 ---------> 1.00953e+12
t=1, n=13, r=1, m=0, rp=2 ---------> 1.23727e+12
t=0, n=14, r=1, m=0, rp=2 ---------> 1.58781e+12
t=1, n=14, r=1, m=0, rp=2 ---------> 1.48227e+12
t=0, n=15, r=1, m=0, rp=2 ---------> 2.04957e+12
t=1, n=15, r=1, m=0, rp=2 ---------> -3.21955e+11
t=0, n=16, r=1, m=0, rp=2 ---------> 1.14938e+12
t=1, n=16, r=1, m=0, rp=2 ---------> -6.44578e+11
t=0, n=17, r=1, m=0, rp=2 ---------> 1.07505e+12
t=1, n=17, r=1, m=0, rp=2 ---------> 1.10771e+12
t=0, n=18, r=1, m=0, rp=2 ---------> 8.50545e+11
t=1, n=18, r=1, m=0, rp=2 ---------> 8.19347e+10
t=0, n=19, r=1, m=0, rp=2 ---------> 4.46079e+11
t=1, n=19, r=1, m=0, rp=2 ---------> 5.71243e+11
t=0, n=20, r=1, m=0, rp=2 ---------> 1.53959e+12
t=1, n=20, r=1, m=0, rp=2 ---------> 6.15643e+11
t=0, n=21, r=1, m=0, rp=2 ---------> 1.03388e+12
t=1, n=21, r=1, m=0, rp=2 ---------> 1.21908e+11
t=0, n=22, r=1, m=0, rp=2 ---------> 2.56934e+12
t=1, n=22, r=1, m=0, rp=2 ---------> 2.07533e+12
t=0, n=23, r=1, m=0, rp=2 ---------> 1.33109e+12
t=1, n=23, r=1, m=0, rp=2 ---------> 9.92273e+11
t=0, n=24, r=1, m=0, rp=2 ---------> 2.87254e+12
t=1, n=24, r=1, m=0, rp=2 ---------> 4.0712e+11
t=0, n=25, r=1, m=0, rp=2 ---------> 1.85431e+12
t=1, n=25, r=1, m=0, rp=2 ---------> 7.35408e+11
t=0, n=26, r=1, m=0, rp=2 ---------> 1.22887e+12
t=1, n=26, r=1, m=0, rp=2 ---------> 1.24797e+12
t=0, n=27, r=1, m=0, rp=2 ---------> 9.03386e+11
t=1, n=27, r=1, m=0, rp=2 ---------> 2.4027e+11
t=0, n=28, r=1, m=0, rp=2 ---------> 1.69145e+12
t=1, n=28, r=1, m=0, rp=2 ---------> 5.59039e+10
t=0, n=29, r=1, m=0, rp=2 ---------> 1.54809e+12
t=1, n=29, r=1, m=0, rp=2 ---------> 2.22784e+11
t=0, n=30, r=1, m=0, rp=2 ---------> 1.5061e+12
t=1, n=30, r=1, m=0, rp=2 ---------> 5.59323e+11
t=0, n=31, r=1, m=0, rp=2 ---------> 2.13533e+12
t=1, n=31, r=1, m=0, rp=2 ---------> 9.37918e+11
t=0, n=32, r=1, m=0, rp=2 ---------> 1.95506e+12
t=1, n=32, r=1, m=0, rp=2 ---------> 4.42196e+11
t=0, n=33, r=1, m=0, rp=2 ---------> 4.24861e+11
t=1, n=33, r=1, m=0, rp=2 ---------> 5.64413e+11
t=0, n=34, r=1, m=0, rp=2 ---------> 1.09646e+12
t=1, n=34, r=1, m=0, rp=2 ---------> 1.46536e+12
t=0, n=35, r=1, m=0, rp=2 ---------> 6.43855e+11
t=1, n=35, r=1, m=0, rp=2 ---------> 7.3207e+11
t=0, n=36, r=1, m=0, rp=2 ---------> 5.27461e+11
t=1, n=36, r=1, m=0, rp=2 ---------> 8.42132e+11
t=0, n=37, r=1, m=0, rp=2 ---------> 1.93529e+12
t=1, n=37, r=1, m=0, rp=2 ---------> 1.15445e+12
t=0, n=38, r=1, m=0, rp=2 ---------> 9.94717e+11
t=1, n=38, r=1, m=0, rp=2 ---------> 8.22634e+11
t=0, n=39, r=1, m=0, rp=2 ---------> 1.24767e+12
t=1, n=39, r=1, m=0, rp=2 ---------> 5.37526e+11
t=0, n=40, r=1, m=0, rp=2 ---------> 6.26714e+11
t=1, n=40, r=1, m=0, rp=2 ---------> 5.75922e+11
t=0, n=41, r=1, m=0, rp=2 ---------> 9.30301e+11
t=1, n=41, r=1, m=0, rp=2 ---------> -5.82765e+11
t=0, n=42, r=1, m=0, rp=2 ---------> 1.3125e+12
t=1, n=42, r=1, m=0, rp=2 ---------> 6.38447e+11
t=0, n=43, r=1, m=0, rp=2 ---------> 2.26526e+11
t=1, n=43, r=1, m=0, rp=2 ---------> 8.0066e+11
t=0, n=44, r=1, m=0, rp=2 ---------> 3.50358e+10
t=1, n=44, r=1, m=0, rp=2 ---------> 9.34937e+10
t=0, n=0, r=2, m=0, rp=2 ---------> -3.64342e+12
t=1, n=0, r=2, m=0, rp=2 ---------> -2.86047e+12
t=0, n=1, r=2, m=0, rp=2 ---------> -1.9089e+12
t=1, n=1, r=2, m=0, rp=2 ---------> -1.5153e+12
t=0, n=2, r=2, m=0, rp=2 ---------> -2.04515e+12
t=1, n=2, r=2, m=0, rp=2 ---------> -1.5546e+12
t=0, n=3, r=2, m=0, rp=2 ---------> -2.88027e+12
t=1, n=3, r=2, m=0, rp=2 ---------> -1.65406e+12
t=0, n=4, r=2, m=0, rp=2 ---------> -2.67047e+12
t=1, n=4, r=2, m=0, rp=2 ---------> -7.19698e+11
t=0, n=5, r=2, m=0, rp=2 ---------> -2.7142e+12
t=1, n=5, r=2, m=0, rp=2 ---------> -1.70641e+12
t=0, n=6, r=2, m=0, rp=2 ---------> -2.0985e+12
t=1, n=6, r=2, m=0, rp=2 ---------> -1.68385e+12
t=0, n=7, r=2, m=0, rp=2 ---------> -1.34581e+12
t=1, n=7, r=2, m=0, rp=2 ---------> -1.59415e+12
t=0, n=8, r=2, m=0, rp=2 ---------> -3.1708e+12
t=1, n=8, r=2, m=0, rp=2 ---------> -1.93575e+12
t=0, n=9, r=2, m=0, rp=2 ---------> -2.54645e+12
t=1, n=9, r=2, m=0, rp=2 ---------> -3.51024e+12
t=0, n=10, r=2, m=0, rp=2 ---------> -1.33574e+12
t=1, n=10, r=2, m=0, rp=2 ---------> -1.02971e+12
t=0, n=11, r=2, m=0, rp=2 ---------> -2.27697e+12
t=1, n=11, r=2, m=0, rp=2 ---------> -1.65946e+12
t=0, n=12, r=2, m=0, rp=2 ---------> -1.75781e+12
t=1, n=12, r=2, m=0, rp=2 ---------> -6.84764e+11
t=0, n=13, r=2, m=0, rp=2 ---------> -1.38056e+12
t=1, n=13, r=2, m=0, rp=2 ---------> -2.16111e+12
t=0, n=14, r=2, m=0, rp=2 ---------> -3.05345e+12
t=1, n=14, r=2, m=0, rp=2 ---------> -2.44601e+12
t=0, n=15, r=2, m=0, rp=2 ---------> -2.99886e+12
t=1, n=15, r=2, m=0, rp=2 ---------> -8.2675e+11
t=0, n=16, r=2, m=0, rp=2 ---------> -1.66076e+12
t=1, n=16, r=2, m=0, rp=2 ---------> -2.95737e+11
t=0, n=17, r=2, m=0, rp=2 ---------> -2.24904e+12
t=1, n=17, r=2, m=0, rp=2 ---------> -1.41934e+12
t=0, n=18, r=2, m=0, rp=2 ---------> -1.87858e+12
t=1, n=18, r=2, m=0, rp=2 ---------> -4.69309e+11
t=0, n=19, r=2, m=0, rp=2 ---------> -8.2634e+11
t=1, n=19, r=2, m=0, rp=2 ---------> -4.94547e+11
t=0, n=20, r=2, m=0, rp=2 ---------> -2.21924e+12
t=1, n=20, r=2, m=0, rp=2 ---------> -1.23874e+12
t=0, n=21, r=2, m=0, rp=2 ---------> -1.70666e+12
t=1, n=21, r=2, m=0, rp=2 ---------> -3.74946e+11
t=0, n=22, r=2, m=0, rp=2 ---------> -3.93807e+12
t=1, n=22, r=2, m=0, rp=2 ---------> -2.73756e+12
t=0, n=23, r=2, m=0, rp=2 ---------> -2.21377e+12
t=1, n=23, r=2, m=0, rp=2 ---------> -1.65872e+12
t=0, n=24, r=2, m=0, rp=2 ---------> -4.72889e+12
t=1, n=24, r=2, m=0, rp=2 ---------> -1.59246e+12
t=0, n=25, r=2, m=0, rp=2 ---------> -3.34017e+12
t=1, n=25, r=2, m=0, rp=2 ---------> -2.18767e+12
t=0, n=26, r=2, m=0, rp=2 ---------> -1.65138e+12
t=1, n=26, r=2, m=0, rp=2 ---------> -1.897e+12
t=0, n=27, r=2, m=0, rp=2 ---------> -2.43485e+12
t=1, n=27, r=2, m=0, rp=2 ---------> -1.29407e+12
t=0, n=28, r=2, m=0, rp=2 ---------> -2.20771e+12
t=1, n=28, r=2, m=0, rp=2 ---------> -1.27906e+12
t=0, n=29, r=2, m=0, rp=2 ---------> -3.06001e+12
t=1, n=29, r=2, m=0, rp=2 ---------> -9.47405e+11
t=0, n=30, r=2, m=0, rp=2 ---------> -2.55403e+12
t=1, n=30, r=2, m=0, rp=2 ---------> -1.22991e+12
t=0, n=31, r=2, m=0, rp=2 ---------> -2.01818e+12
t=1, n=31, r=2, m=0, rp=2 ---------> -1.27616e+12
t=0, n=32, r=2, m=0, rp=2 ---------> -2.69012e+12
t=1, n=32, r=2, m=0, rp=2 ---------> -1.17964e+12
t=0, n=33, r=2, m=0, rp=2 ---------> -7.09753e+11
t=1, n=33, r=2, m=0, rp=2 ---------> -7.7024e+11
t=0, n=34, r=2, m=0, rp=2 ---------> -2.44326e+12
t=1, n=34, r=2, m=0, rp=2 ---------> -1.10497e+12
t=0, n=35, r=2, m=0, rp=2 ---------> -1.20661e+12
t=1, n=35, r=2, m=0, rp=2 ---------> -1.21793e+12
t=0, n=36, r=2, m=0, rp=2 ---------> -1.23589e+12
t=1, n=36, r=2, m=0, rp=2 ---------> -7.31309e+11
t=0, n=37, r=2, m=0, rp=2 ---------> -2.74157e+12
t=1, n=37, r=2, m=0, rp=2 ---------> -2.2499e+12
t=0, n=38, r=2, m=0, rp=2 ---------> -1.88185e+12
t=1, n=38, r=2, m=0, rp=2 ---------> -8.13672e+11
t=0, n=39, r=2, m=0, rp=2 ---------> -2.56674e+12
t=1, n=39, r=2, m=0, rp=2 ---------> -9.97051e+11
t=0, n=40, r=2, m=0, rp=2 ---------> -1.64158e+12
t=1, n=40, r=2, m=0, rp=2 ---------> -1.23492e+12
t=0, n=41, r=2, m=0, rp=2 ---------> -1.43768e+12
t=1, n=41, r=2, m=0, rp=2 ---------> 1.41225e+11
t=0, n=42, r=2, m=0, rp=2 ---------> -2.63176e+12
t=1, n=42, r=2, m=0, rp=2 ---------> -1.17155e+12
t=0, n=43, r=2, m=0, rp=2 ---------> -8.38384e+11
t=1, n=43, r=2, m=0, rp=2 ---------> -7.21252e+11
t=0, n=44, r=2, m=0, rp=2 ---------> 1.6031e+10
t=1, n=44, r=2, m=0, rp=2 ---------> 1.0896e+10
t=0, n=0, r=3, m=0, rp=2 ---------> 5.45021e+11
t=1, n=0, r=3, m=0, rp=2 ---------> 2.53283e+12
t=0, n=1, r=3, m=0, rp=2 ---------> 4.31345e+11
t=1, n=1, r=3, m=0, rp=2 ---------> 1.789e+12
t=0, n=2, r=3, m=0, rp=2 ---------> 3.53183e+11
t=1, n=2, r=3, m=0, rp=2 ---------> 1.1031e+12
t=0, n=3, r=3, m=0, rp=2 ---------> 8.96559e+11
t=1, n=3, r=3, m=0, rp=2 ---------> 1.71752e+12
t=0, n=4, r=3, m=0, rp=2 ---------> -1.80325e+11
t=1, n=4, r=3, m=0, rp=2 ---------> 1.27596e+12
t=0, n=5, r=3, m=0, rp=2 ---------> 2.54575e+11
t=1, n=5, r=3, m=0, rp=2 ---------> 1.8204e+12
t=0, n=6, r=3, m=0, rp=2 ---------> 7.48554e+11
t=1, n=6, r=3, m=0, rp=2 ---------> 1.92302e+12
t=0, n=7, r=3, m=0, rp=2 ---------> 1.43287e+11
t=1, n=7, r=3, m=0, rp=2 ---------> 1.43517e+12
t=0, n=8, r=3, m=0, rp=2 ---------> 9.24625e+11
t=1, n=8, r=3, m=0, rp=2 ---------> 1.56498e+12
t=0, n=9, r=3, m=0, rp=2 ---------> 1.42225e+12
t=1, n=9, r=3, m=0, rp=2 ---------> 2.60194e+12
t=0, n=10, r=3, m=0, rp=2 ---------> 3.08418e+11
t=1, n=10, r=3, m=0, rp=2 ---------> 1.02305e+12
t=0, n=11, r=3, m=0, rp=2 ---------> -3.18046e+09
t=1, n=11, r=3, m=0, rp=2 ---------> 1.72322e+12
t=0, n=12, r=3, m=0, rp=2 ---------> 2.32603e+11
t=1, n=12, r=3, m=0, rp=2 ---------> 8.85245e+11
t=0, n=13, r=3, m=0, rp=2 ---------> 7.14136e+11
t=1, n=13, r=3, m=0, rp=2 ---------> 1.75876e+12
t=0, n=14, r=3, m=0, rp=2 ---------> 1.0383e+12
t=1, n=14, r=3, m=0, rp=2 ---------> 1.64674e+12
t=0, n=15, r=3, m=0, rp=2 ---------> -1.22335e+11
t=1, n=15, r=3, m=0, rp=2 ---------> 1.25405e+12
t=0, n=16, r=3, m=0, rp=2 ---------> 2.83997e+11
t=1, n=16, r=3, m=0, rp=2 ---------> 9.26949e+11
t=0, n=17, r=3, m=0, rp=2 ---------> 5.42348e+11
t=1, n=17, r=3, m=0, rp=2 ---------> 1.55886e+12
t=0, n=18, r=3, m=0, rp=2 ---------> -5.52629e+11
t=1, n=18, r=3, m=0, rp=2 ---------> 1.04522e+12
t=0, n=19, r=3, m=0, rp=2 ---------> -4.31829e+11
t=1, n=19, r=3, m=0, rp=2 ---------> 3.91397e+11
t=0, n=20, r=3, m=0, rp=2 ---------> 2.16688e+11
t=1, n=20, r=3, m=0, rp=2 ---------> 1.17755e+12
t=0, n=21, r=3, m=0, rp=2 ---------> -4.25969e+11
t=1, n=21, r=3, m=0, rp=2 ---------> 6.38435e+11
t=0, n=22, r=3, m=0, rp=2 ---------> 4.62523e+11
t=1, n=22, r=3, m=0, rp=2 ---------> 2.62053e+12
t=0, n=23, r=3, m=0, rp=2 ---------> 6.1097e+11
t=1, n=23, r=3, m=0, rp=2 ---------> 1.13911e+12
t=0, n=24, r=3, m=0, rp=2 ---------> 2.8231e+11
t=1, n=24, r=3, m=0, rp=2 ---------> 2.21638e+12
t=0, n=25, r=3, m=0, rp=2 ---------> 1.2661e+12
t=1, n=25, r=3, m=0, rp=2 ---------> 1.9242e+12
t=0, n=26, r=3, m=0, rp=2 ---------> 2.00441e+11
t=1, n=26, r=3, m=0, rp=2 ---------> 1.53513e+12
t=0, n=27, r=3, m=0, rp=2 ---------> 3.66817e+11
t=1, n=27, r=3, m=0, rp=2 ---------> 9.61746e+11
t=0, n=28, r=3, m=0, rp=2 ---------> 8.86504e+10
t=1, n=28, r=3, m=0, rp=2 ---------> 1.66883e+12
t=0, n=29, r=3, m=0, rp=2 ---------> -1.23996e+11
t=1, n=29, r=3, m=0, rp=2 ---------> 1.0839e+12
t=0, n=30, r=3, m=0, rp=2 ---------> 1.26819e+11
t=1, n=30, r=3, m=0, rp=2 ---------> 1.59316e+12
t=0, n=31, r=3, m=0, rp=2 ---------> 1.64012e+11
t=1, n=31, r=3, m=0, rp=2 ---------> 1.13103e+12
t=0, n=32, r=3, m=0, rp=2 ---------> -4.89098e+09
t=1, n=32, r=3, m=0, rp=2 ---------> 1.0485e+12
t=0, n=33, r=3, m=0, rp=2 ---------> 1.79654e+11
t=1, n=33, r=3, m=0, rp=2 ---------> 6.66043e+11
t=0, n=34, r=3, m=0, rp=2 ---------> 3.33655e+11
t=1, n=34, r=3, m=0, rp=2 ---------> 1.48516e+12
t=0, n=35, r=3, m=0, rp=2 ---------> 5.17201e+11
t=1, n=35, r=3, m=0, rp=2 ---------> 8.14821e+11
t=0, n=36, r=3, m=0, rp=2 ---------> -1.7221e+11
t=1, n=36, r=3, m=0, rp=2 ---------> 8.29651e+11
t=0, n=37, r=3, m=0, rp=2 ---------> 1.04339e+12
t=1, n=37, r=3, m=0, rp=2 ---------> 1.60148e+12
t=0, n=38, r=3, m=0, rp=2 ---------> 1.62828e+10
t=1, n=38, r=3, m=0, rp=2 ---------> 1.27399e+12
t=0, n=39, r=3, m=0, rp=2 ---------> -2.75659e+11
t=1, n=39, r=3, m=0, rp=2 ---------> 1.02598e+12
t=0, n=40, r=3, m=0, rp=2 ---------> 2.73644e+11
t=1, n=40, r=3, m=0, rp=2 ---------> 1.04345e+12
t=0, n=41, r=3, m=0, rp=2 ---------> -5.50967e+10
t=1, n=41, r=3, m=0, rp=2 ---------> 4.88474e+11
t=0, n=42, r=3, m=0, rp=2 ---------> 4.85091e+11
t=1, n=42, r=3, m=0, rp=2 ---------> 1.50658e+12
t=0, n=43, r=3, m=0, rp=2 ---------> 2.79823e+10
t=1, n=43, r=3, m=0, rp=2 ---------> 9.87626e+11
t=0, n=44, r=3, m=0, rp=2 ---------> 1.91912e+10
t=1, n=44, r=3, m=0, rp=2 ---------> -5.37497e+09
t=0, n=0, r=0, m=1, rp=2 ---------> -5.32944e+11
