t=0, n=37, m=1, rp=0 ---------> -5.14405e+11
t=1, n=37, m=1, rp=0 ---------> 1.35334e+11
t=0, n=38, m=1, rp=0 ---------> -8.31394e+10
t=1, n=38, m=1, rp=0 ---------> 1.99312e+11
t=0, n=39, m=1, rp=0 ---------> -4.8346e+11
t=1, n=39, m=1, rp=0 ---------> -1.57899e+11
t=0, n=40, m=1, rp=0 ---------> -1.29746e+11
t=1, n=40, m=1, rp=0 ---------> -4.49048e+10
t=0, n=41, m=1, rp=0 ---------> -2.15444e+11
t=1, n=41, m=1, rp=0 ---------> 2.09686e+11
t=0, n=42, m=1, rp=0 ---------> -9.29786e+11
t=1, n=42, m=1, rp=0 ---------> 1.7218e+11
t=0, n=43, m=1, rp=0 ---------> -2.97015e+11
t=1, n=43, m=1, rp=0 ---------> 2.77248e+11
t=0, n=44, m=1, rp=0 ---------> -1.78656e+10
t=1, n=44, m=1, rp=0 ---------> 7.42847e+09
t=0, n=45, m=1, rp=0 ---------> -6.80334e+09
t=1, n=45, m=1, rp=0 ---------> -1.05528e+09
t=0, n=0, m=2, rp=0 ---------> 49380
t=1, n=0, m=2, rp=0 ---------> 49380
t=0, n=1, m=2, rp=0 ---------> 49380
t=1, n=1, m=2, rp=0 ---------> 49380
t=0, n=2, m=2, rp=0 ---------> 49380
t=1, n=2, m=2, rp=0 ---------> 49380
t=0, n=3, m=2, rp=0 ---------> -3.77688e+11
t=1, n=3, m=2, rp=0 ---------> 3.71073e+11
t=0, n=4, m=2, rp=0 ---------> -1.44918e+11
t=1, n=4, m=2, rp=0 ---------> 3.23895e+11
t=0, n=5, m=2, rp=0 ---------> -4.16367e+11
t=1, n=5, m=2, rp=0 ---------> 3.98687e+11
t=0, n=6, m=2, rp=0 ---------> 6.72108e+10
t=1, n=6, m=2, rp=0 ---------> 9.46428e+10
t=0, n=7, m=2, rp=0 ---------> 6.90214e+10
t=1, n=7, m=2, rp=0 ---------> 2.51567e+11
t=0, n=8, m=2, rp=0 ---------> -6.12921e+11
t=1, n=8, m=2, rp=0 ---------> 1.82698e+11
t=0, n=9, m=2, rp=0 ---------> -2.11925e+11
t=1, n=9, m=2, rp=0 ---------> 2.17935e+11
t=0, n=10, m=2, rp=0 ---------> -7.62422e+10
t=1, n=10, m=2, rp=0 ---------> 2.6258e+11
t=0, n=11, m=2, rp=0 ---------> -3.75971e+11
t=1, n=11, m=2, rp=0 ---------> 3.46684e+11
t=0, n=12, m=2, rp=0 ---------> -1.29558e+11
t=1, n=12, m=2, rp=0 ---------> 3.74668e+11
t=0, n=13, m=2, rp=0 ---------> 1.91115e+10
t=1, n=13, m=2, rp=0 ---------> 1.49344e+11
t=0, n=14, m=2, rp=0 ---------> -7.3145e+11
t=1, n=14, m=2, rp=0 ---------> -1.51706e+11
t=0, n=15, m=2, rp=0 ---------> -3.81981e+11
t=1, n=15, m=2, rp=0 ---------> 1.35617e+11
t=0, n=16, m=2, rp=0 ---------> -4.06129e+11
t=1, n=16, m=2, rp=0 ---------> 1.20969e+11
t=0, n=17, m=2, rp=0 ---------> -6.98206e+11
